full_name,politician_id,topic_key,value,reasoning
Ronald M. Winterton,8108dfd3-1039-4eab-b175-091d120ee213,abortion,4,"Winterton voted Yea on Utah SB174 (2020), the abortion prohibition trigger law that banned virtually all abortions with extremely limited exceptions. The bill passed 23-6 in the Senate and was designed to take effect upon Roe being overturned, which occurred in 2022. His vote aligns with an almost total ban rather than a complete one with criminal penalties for patients, but is more restrictive than rape/incest/health exceptions only. — best matches stance 4 (restrict abortion to only cases involving rape, incest, or serious threats to the mother's life), as SB174's limited exceptions track this language."
Ronald M. Winterton,8108dfd3-1039-4eab-b175-091d120ee213,fossil-fuels,5,"Winterton has been one of the most prominent fossil fuel advocates in the Utah legislature. He sponsored SB176 (2021) removing requirements that mineral leasing revenues help local communities repair damage from fossil fuel development, redirecting public funds toward the Uinta Basin Railway project designed to quadruple oil extraction. As Duchesne County commissioner he voted to rush $6 million in funding to the railway while employed as a consultant by its engineering firm. He also sponsored SB146 (2022) amending the Division of Oil, Gas, and Mining. — best matches stance 5 (remove environmental restrictions and maximize fossil fuel extraction)."
Ronald M. Winterton,8108dfd3-1039-4eab-b175-091d120ee213,climate-change,5,"Winterton chairs the Senate Natural Resources, Agriculture, and Environment Committee yet has actively championed fossil fuel infrastructure expansion. He sponsored SB126 (2025), the 'chemtrails' bill criminalizing solar geoengineering based on a debunked conspiracy theory, demonstrating hostility to climate science. His consistent record of promoting oil, gas, and mining expansion with no documented support for climate policy measures aligns with rejecting climate policies in favor of economic growth. — best matches stance 5 (reject climate change policies and focus on economic growth instead)."
Ronald M. Winterton,8108dfd3-1039-4eab-b175-091d120ee213,school-vouchers,5,"Winterton voted Yea on HB215 (2023), the Utah Fits All Scholarship Act, which created universal $8,000 education vouchers that can be used at any private, parochial, or micro-school without means-testing — a near-universal school choice program. The bill passed the Senate 20-8 largely along party lines. — best matches stance 5 (providing universal vouchers so that education funding follows the student to any school — public, private, or religious — chosen by the family)."
Ronald M. Winterton,8108dfd3-1039-4eab-b175-091d120ee213,religious-freedom,4,"Utah's SB150 Religious Freedom Restoration Act (2024) passed the Senate unanimously, meaning Winterton was among the Yea votes. The bill creates broad protections for sincere religious beliefs against government compulsion, though negotiated to include language protecting existing LGBTQ anti-discrimination provisions. His long-standing Republican legislative record and unanimous Senate support for this RFRA-style bill points to strong religious freedom protections. — best matches stance 4 (protect religious freedom and allow faith-based exemptions from laws that conflict with sincere religious beliefs)."
Ronald M. Winterton,8108dfd3-1039-4eab-b175-091d120ee213,taxes,4,"Winterton voted Yea on HB106 (2025), Utah's income tax rate cut from 4.55% to 4.5% — the fifth consecutive year of tax cuts totaling $1.4 billion over five years. The bill passed 23-6 in the Senate. His 2025 session recap emphasized fiscal responsibility and tax relief as central priorities, describing the tax cuts as strengthening the economy. His approach is tax cuts with maintained public services rather than dramatic government shrinkage. — best matches stance 4 (cut taxes for everyone and scale back public services to match)."
Ronald M. Winterton,8108dfd3-1039-4eab-b175-091d120ee213,data-centers,2,"Winterton voted Yea (27-0) on SB132 (2025), the Electric Utility Amendments bill that requires large-load energy consumers (100+ MW, i.e., data centers) to enter separate contracts with utilities or alternative providers so that their infrastructure costs are NOT passed on to existing residential ratepayers. The bill's explicit design was to spare regular consumers the financial burden large loads might bring. — best matches stance 2 (requiring data centers to fund their own dedicated power generation and barring utilities from passing data center infrastructure costs to residential customers)."
Ronald M. Winterton,8108dfd3-1039-4eab-b175-091d120ee213,same-sex-marriage,5,"No direct floor vote on same-sex marriage is available at the state level, but Winterton is a conservative Republican from a heavily rural, LDS-majority Uinta Basin district who voted for the 2020 abortion prohibition, supported RFRA protections, and has no documented support for same-sex marriage. His district and party record strongly suggest opposition to same-sex marriage, but lacking direct evidence, this stance is inferred cautiously from his full legislative record and district context. — best matches stance 5 (make same-sex marriage illegal and define marriage as only between one man and one woman)."
Ronald M. Winterton,8108dfd3-1039-4eab-b175-091d120ee213,trans-athletes,4,"Utah passed HB11 (2022) banning transgender girls from school sports, which the Senate voted 21-8 to advance and later 21-8 to override Governor Cox's veto. Winterton is a Republican senator from a deeply conservative district who voted for SB174 and other culture-war legislation, and there is no documented opposition to the trans athlete ban. The state Senate overwhelmingly passed the measure and Winterton's district and record indicate support. — best matches stance 4 (require transgender athletes to compete only on teams matching their biological sex assigned at birth)."
Ronald M. Winterton,8108dfd3-1039-4eab-b175-091d120ee213,misinformation,4,"Winterton sponsored SB126 (2025), the 'chemtrails' airborne chemicals bill criminalizing solar geoengineering based on a debunked conspiracy theory about aircraft contrails, which critics say relied on anecdotal observations and lacked scientific foundation. His sponsorship of this bill reflects an orientation toward protecting free speech and skepticism of government-sanctioned scientific consensus rather than mandating content moderation. — best matches stance 4 (protect free speech online and prevent government censorship)."
