external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-44002,Seth Magaziner,abortion,2,"Magaziner stated he will continue to fight for a woman's right to choose (Jun 2022). He supports keeping abortion legal and accessible; no documented position favoring public funding at all stages of pregnancy.",https://www.ontheissues.org/house/Seth_Magaziner.htm,https://en.wikipedia.org/wiki/Seth_Magaziner,,"""Seth will continue to fight for a women's right to choose.""","""[They] will continue to fight for a women's right to choose."""
-44002,Seth Magaziner,healthcare,2,"Magaziner supports expanding the Affordable Care Act, which maintains a mix of public programs and regulated private insurance. He has not advocated for a full single-payer system.",https://www.ontheissues.org/house/Seth_Magaziner.htm,https://en.wikipedia.org/wiki/Seth_Magaziner,,,
-44002,Seth Magaziner,social-security,3,"Magaziner has stated he opposes Republican efforts to privatize Social Security, signaling support for maintaining and stabilizing the current program. No documented push to significantly expand benefits or remove the payroll tax cap.",https://www.ontheissues.org/house/Seth_Magaziner.htm,https://en.wikipedia.org/wiki/Seth_Magaziner,,"""Oppose Republican efforts to privatize Social Security.""","""Oppose efforts to privatize Social Security."""
-44002,Seth Magaziner,climate-change,2,"Magaziner holds a 98% lifetime LCV environmental score and has consistently advocated for investing in wind, solar, and clean energy technologies. He supports rapid transition to renewable energy to address climate change.",https://www.lcv.org/congressional-scorecard/members-of-congress/,https://www.ontheissues.org/house/Seth_Magaziner.htm,https://en.wikipedia.org/wiki/Seth_Magaziner,"""Support clean energy jobs, invest in climate resilience.""","""Support clean energy jobs, invest in climate resilience."""
-44002,Seth Magaziner,fossil-fuels,2,"With a 98% lifetime LCV score and a platform centered on expanding wind, solar, and clean energy, Magaziner opposes fossil fuel expansion and aligns with stopping new drilling permits. As RI General Treasurer he pursued litigation against BP for oil spills.",https://www.lcv.org/congressional-scorecard/members-of-congress/,https://en.wikipedia.org/wiki/Seth_Magaziner,,,
-44002,Seth Magaziner,same-sex-marriage,1,"Magaziner served on the board of Marriage Equality Rhode Island and actively supported the successful campaign to legalize same-sex marriage in Rhode Island. He is a member of the Congressional Equality Caucus, which advocates for full federal recognition and benefits for same-sex marriages.",https://en.wikipedia.org/wiki/Seth_Magaziner,https://ballotpedia.org/Seth_Magaziner,,,
-44002,Seth Magaziner,campaign-finance,2,"Magaziner was an original cosponsor of the Restore Trust in Congress Act (H.R. 5106) to ban congressional stock trading, reflecting a position of strictly limiting the influence of money and financial conflicts in politics.",https://en.wikipedia.org/wiki/Seth_Magaziner,https://ballotpedia.org/Seth_Magaziner,,,
-44002,Seth Magaziner,voting-rights,2,"Magaziner has stated that 'Democracy only works when people can make their voices heard,' and his campaign emphasized expanding voter access. His record is consistent with supporting expanded early voting and mail-in voting access.",https://www.ontheissues.org/house/Seth_Magaziner.htm,https://en.wikipedia.org/wiki/Seth_Magaziner,,"""Democracy only works when people can make their voices heard.""","""Democracy only works when people can make their voices heard."""
-44002,Seth Magaziner,school-vouchers,1,"OnTheIssues classifies Magaziner as strongly opposing vouchers. He advocates ensuring every child has access to free universal pre-school, reflecting a commitment to fully funding public education over diverting funds to private institutions.",https://www.ontheissues.org/house/Seth_Magaziner.htm,https://en.wikipedia.org/wiki/Seth_Magaziner,,"""Ensure every child has access to free universal pre-school.""","""Ensure every child has access to free universal pre-school."""
-44002,Seth Magaziner,childcare,2,"Magaziner advocated for extending the child tax credit and ensuring every child has access to free universal pre-school (Jun 2022), indicating support for significantly expanding subsidies and public programs to make childcare affordable for low- and middle-income families.",https://www.ontheissues.org/house/Seth_Magaziner.htm,https://en.wikipedia.org/wiki/Seth_Magaziner,,,
-44002,Seth Magaziner,taxes,2,"OnTheIssues classifies Magaziner as a Liberal Populist. He supports extending the child tax credit and has campaigned on the idea that the American Dream of economic mobility has broken down for many, indicating support for moderately raising taxes on wealthy individuals and corporations to fund existing services.",https://www.ontheissues.org/house/Seth_Magaziner.htm,https://en.wikipedia.org/wiki/Seth_Magaziner,,,
