link_id,politician_id,row_name,row_district,source_system,external_id,stored_committee_name,official_committee_name,filer_area_code,cal_access_status,prior_status,name_match,verdict,basis,reason,name_only_lead
775dde82-69de-4b0b-973e-8c1462feb721,2376dcb8-0374-49de-b041-88035ed3c9f4,Angela Portillo,Palmdale SD,cal_access,1222359,"PORTILLO, NEIGHBORS FOR","PORTILLO, NEIGHBORS FOR",818,TERMINATED 03/20/2000,needs_research,surname only,keep needs_research,unresolved,"committee named only ""PORTILLO, NEIGHBORS FOR"": no given name, no office, no electronic filings, terminated 2000; filer area code 818 (San Fernando Valley) is inside LA County though not Palmdale's. Not shown to belong elsewhere",
ff3c9631-ad71-4d5e-ac41-141be3378730,8a0d4875-70b5-4678-badb-4e1b8caa432c,Claudia Valenzuela,Palmdale SD,cal_access,1263805,"VALENZUELA FOR ASSEMBLY, COMMITTEE TO ELECT","VALENZUELA FOR ASSEMBLY, COMMITTEE TO ELECT",626,TERMINATED 01/30/2005,needs_research,surname only,disputed,B another office or district named,"surname-only auto-link: Cal-Access 1263805 ""VALENZUELA FOR ASSEMBLY, COMMITTEE TO ELECT"" -- a campaign for the State Assembly, not for the Palmdale SD board; this row is a CA_0159 no-evidence Palmdale SD placeholder (deactivated)",
e73d7327-eb67-4d72-84c7-07133f8cba71,8a0d4875-70b5-4678-badb-4e1b8caa432c,Claudia Valenzuela,Palmdale SD,cal_access,1273117,"VALENZUELA FOR COVINA COUNCIL, COMMITTEE TO ELECT","VALENZUELA FOR COVINA COUNCIL, COMMITTEE TO ELECT",626,TERMINATED 07/30/2005,needs_research,surname only,disputed,B another office or district named,"surname-only auto-link: Cal-Access 1273117 ""VALENZUELA FOR COVINA COUNCIL, COMMITTEE TO ELECT"" -- a campaign for a city council, not for the Palmdale SD board; this row is a CA_0159 no-evidence Palmdale SD placeholder (deactivated)",
e3808893-1b93-4a72-bd86-84757de0e7ae,8a0d4875-70b5-4678-badb-4e1b8caa432c,Claudia Valenzuela,Palmdale SD,cal_access,1304963,VALENZUELA FOR SUPERVISOR,VALENZUELA FOR SUPERVISOR,530,TERMINATED 12/27/2012,needs_research,surname only,disputed,B another office or district named,"surname-only auto-link: Cal-Access 1304963 ""VALENZUELA FOR SUPERVISOR"" -- a campaign for a county board of supervisors, not for the Palmdale SD board; this row is a CA_0159 no-evidence Palmdale SD placeholder (deactivated)",
3616280c-bc54-4fef-add8-5c1de332ad1c,8a0d4875-70b5-4678-badb-4e1b8caa432c,Claudia Valenzuela,Palmdale SD,cal_access,1332892,VALENZUELA FOR CALEXICO SCHOOL BOARD 2010 COMMITTEE.,VALENZUELA FOR CALEXICO SCHOOL BOARD 2010 COMMITTEE.,760,TERMINATED 01/25/2013,needs_research,surname only,disputed,B another office or district named,"surname-only auto-link: Cal-Access 1332892 ""VALENZUELA FOR CALEXICO SCHOOL BOARD 2010 COMMITTEE."" -- a campaign for the board of a different school district, not for the Palmdale SD board; this row is a CA_0159 no-evidence Palmdale SD placeholder (deactivated)",
1b032403-b7b8-4efe-8bfe-13c5ab8468f1,8a0d4875-70b5-4678-badb-4e1b8caa432c,Claudia Valenzuela,Palmdale SD,cal_access,1335741,VALENZUELA FOR COUNCIL 2011,VALENZUELA FOR COUNCIL 2011,626,TERMINATED 06/30/2011,needs_research,surname only,disputed,B another office or district named,"surname-only auto-link: Cal-Access 1335741 ""VALENZUELA FOR COUNCIL 2011"" -- a campaign for a city council, not for the Palmdale SD board; this row is a CA_0159 no-evidence Palmdale SD placeholder (deactivated)",
89ee3f4d-2ded-48ed-bad9-008176436356,8a0d4875-70b5-4678-badb-4e1b8caa432c,Claudia Valenzuela,Palmdale SD,cal_access,1340827,VALENZUELA FOR CITY CLERK 2011,VALENZUELA FOR CITY CLERK 2011,323,TERMINATED 05/10/2012,needs_research,surname only,disputed,B another office or district named,"surname-only auto-link: Cal-Access 1340827 ""VALENZUELA FOR CITY CLERK 2011"" -- a campaign for city clerk, not for the Palmdale SD board; this row is a CA_0159 no-evidence Palmdale SD placeholder (deactivated)",
014af8be-d906-4f6d-b860-80e42c512117,8a0d4875-70b5-4678-badb-4e1b8caa432c,Claudia Valenzuela,Palmdale SD,cal_access,1356282,"VALENZUELA FOR OXNARD CITY COUNCIL 2013, A J","VALENZUELA FOR OXNARD CITY COUNCIL 2013, A J",805,TERMINATED 07/30/2013,needs_research,surname only,disputed,B another office or district named,"surname-only auto-link: Cal-Access 1356282 ""VALENZUELA FOR OXNARD CITY COUNCIL 2013, A J"" -- a campaign for a city council (A J Valenzuela, Oxnard), not for the Palmdale SD board; this row is a CA_0159 no-evidence Palmdale SD placeholder (deactivated)",
53b23959-4ae9-435d-8ef8-8ee141513ec5,8a0d4875-70b5-4678-badb-4e1b8caa432c,Claudia Valenzuela,Palmdale SD,cal_access,1423895,"VALENZUELA, VANG AND LANDEROS FOR CITY COUNCIL 2020, SPONSORED BY LABOR AND COMMUNITY ORGANIZATIONS; SACRAMENTO WORKING FAMILIES SUPPORTING","VALENZUELA, VANG AND LANDEROS FOR CITY COUNCIL 2020, SPONSORED BY LABOR AND COMMUNITY ORGANIZATIONS; SACRAMENTO WORKING FAMILIES SUPPORTING",916,TERMINATED 12/31/2020,needs_research,surname only,disputed,B another office or district named,"surname-only auto-link: Cal-Access 1423895 ""VALENZUELA, VANG AND LANDEROS FOR CITY COUNCIL 2020, SPONSORED BY LABOR AND COMMUNITY ORGANIZATIONS; SACRAMENTO WORKING FAMILIES SUPPORTING"" -- a campaign for a city council (Sacramento), not for the Palmdale SD board; this row is a CA_0159 no-evidence Palmdale SD placeholder (deactivated)",
6d42b496-1a0f-4bce-8a0f-b64a4c314843,8a0d4875-70b5-4678-badb-4e1b8caa432c,Claudia Valenzuela,Palmdale SD,cal_access,1451676,VALENZUELA FOR CITY TREASURER 2022,VALENZUELA FOR CITY TREASURER 2022,626,TERMINATED 12/31/2022,needs_research,surname only,disputed,B another office or district named,"surname-only auto-link: Cal-Access 1451676 ""VALENZUELA FOR CITY TREASURER 2022"" -- a campaign for city treasurer, not for the Palmdale SD board; this row is a CA_0159 no-evidence Palmdale SD placeholder (deactivated)",
