class,proposed_action,name,district,term_state,term_end,is_incumbent,party,agent_class,confidence,years,evidence_url,evidence_quote,roster_span,roster_complete,note,id
A1 REAL - current member (verified on board page by CA_0143-0154),clear party only,Robert Gin,alhambra unified,OPEN,,t,,,,,,,,,,f2a863a9-ce21-453a-9d2b-fc7282307eb0
A1 REAL - current member (verified on board page by CA_0143-0154),clear party only,Rachelle Marcus,beverly hills unified,OPEN,,t,,,,,,,,,,a1e9b61d-96e0-47be-ae4f-dab05158e56b
A1 REAL - current member (verified on board page by CA_0143-0154),clear party only,Armond Aghakhanian,burbank unified,OPEN,,t,,,,,,,,,,b7dc60f1-7d9f-4ac8-abb1-a977ffd25d26
A1 REAL - current member (verified on board page by CA_0143-0154),clear party only,Alma Taylor-Pleasant,compton unified,OPEN,,t,,,,,,,,,,123e8e2b-4c4c-471f-80a4-216a1a73c50c
A1 REAL - current member (verified on board page by CA_0143-0154),clear party only,Michael Hooper,compton unified,OPEN,,t,,,,,,,,,,24076e95-943f-4f94-afe3-05552575659c
A1 REAL - current member (verified on board page by CA_0143-0154),clear party only,Linda Menges,las virgenes unified,OPEN,,t,,,,,,,,,,dafc1db2-758f-498f-93f8-4f632b0adc7a
A1 REAL - current member (verified on board page by CA_0143-0154),clear party only,Diana Craighead,long beach unified,OPEN,,t,,,,,,,,,,028e1a70-5ac2-42ec-bc2e-eafc9dcc630e
A1 REAL - current member (verified on board page by CA_0143-0154),clear party only,Erik Miller,long beach unified,OPEN,,t,,,,,,,,,,22969acc-f5d2-48de-8715-4eb67601cdba
A1 REAL - current member (verified on board page by CA_0143-0154),clear party only,Juan Benitez,long beach unified,OPEN,,t,,,,,,,,,,2f601ba5-a8be-4947-961e-cbbb50b61f28
A1 REAL - current member (verified on board page by CA_0143-0154),clear party only,Jen Fenton,manhattan beach unified,OPEN,,t,,,,,,,,,,4ef6ef6a-7a0c-4f66-bc9e-3e923ce4965d
A1 REAL - current member (verified on board page by CA_0143-0154),clear party only,Kim Kenne,pasadena unified,OPEN,,t,,,,,,,,,,820d81c8-4f1a-4a05-a739-98e1c1e35c56
A1 REAL - current member (verified on board page by CA_0143-0154),clear party only,Michelle Bailey,pasadena unified,OPEN,,t,,,,,,,,,,5cbf44d9-91de-4fc9-b5f0-76e2ae236914
A1 REAL - current member (verified on board page by CA_0143-0154),clear party only,Yarma Velázquez Vargas,pasadena unified,OPEN,,t,,,,,,,,,,b1f63336-4614-4c12-9b03-6ad3c30604df
A1 REAL - current member (verified on board page by CA_0143-0154),clear party only,Jon Kean,santa monica malibu unified,OPEN,,t,,,,,,,,,,063fd6f1-42f0-47dc-aa7d-7feac385c495
A1 REAL - current member (verified on board page by CA_0143-0154),clear party only,Laurie Lieberman,santa monica malibu unified,OPEN,,t,,,,,,,,,,0952f897-7414-4ad3-af88-022de9e4971c
A1 REAL - current member (verified on board page by CA_0143-0154),clear party only,Maria Leon-Vazquez,santa monica malibu unified,OPEN,,t,,,,,,,,,,dc78ce32-d1d6-40f6-a200-dd8fb5a13f7d
A2 REAL - former member,clear party; keep term + active; is_incumbent=false; append evidence to term source,Ken Tang,alhambra unified,CLOSED,2025-08-05,f,Nonpartisan,,high,,RR/CC,"RR/CC Nov 2024 candidate list: KENNETH TRUNG TANG, incumbent (Alhambra TA); resigned 2025-08-06 per CA_0151",,,,90b0b8a1-c700-4786-84d6-33ddb55f5b6f
A2 REAL - former member,clear party; keep term + active; append evidence to term source,Rosemary Garcia,azusa unified,CLOSED,2022-12-12,f,Nonpartisan,REAL,high,by 2001-2013,http://web.archive.org/web/20010405130848/http://www.azusausd.k12.ca.us:80/districtinfo/districtinfo.html,"Board of Education Rosemary Garcia, Vice President Lisa Harrington, Clerk Jose L. Torres, Member Ilean M. Ochoa, Member",2006-2018 continuous (plus 2001 snapshot; RR/CC 2018-2026),False,Served from at least 2001 until Dec 2013 (her seat was one of three up in Nov 2013; only Cruz-Gonzalez filed for re-election). Recorded end 2022-12-12 is wrong; real end is about Dec 2013.,b545317b-d799-4ca0-ae8d-f9a93c35729f
A2 REAL - former member,clear party; keep term + active; is_incumbent=false; append evidence to term source,Cristina Lucero,baldwin park unified,CLOSED,2024-11-30,f,Nonpartisan,,high,,RR/CC,RR/CC: CHRISTINA LUCERO won Nov 2015 (results.lavote.gov election 967); incumbent on Nov 2020 and Nov 2024 lists,,,,09cd1f70-2a45-4393-ac52-33f55091ffd4
