link_id,politician_id,row_name,external_id,stored_committee_name,official_committee_name,filer_area_code,cal_access_status,category,sub_category,controlling_candidate,displayed_amount_before,outcome
d7897276-e30f-4548-bad4-b709fa8cadbc,5cf487ec-b383-466f-a5db-b01b607acd9c,Alejandra Avila,1408861,AVILA FOR CITY COUNCIL 2018; ALEJANDRA,AVILA FOR CITY COUNCIL 2018; ALEJANDRA,626,TERMINATED,40002:CONTROLLED,0:N/A,,0.0,"kept confirmed: controlled, no controlling candidate on file and no SOS reports (local committee; loads nothing)"
680028a6-a32b-42a1-9fcd-e361bd214ef1,2382e3c5-f6ff-4aeb-88c6-8538df3ea05d,Ali Taj,1403894,TAJ FOR SENATE 2018 - SPECIAL,TAJ FOR SENATE 2018 - SPECIAL,323,TERMINATED,40002:CONTROLLED,0:N/A,ALI SAJJAD TAJ; Ali Taj,51001.0,"kept confirmed: controlled by this person, name matches, SOS e-filed reports"
2a09b8be-bdbe-4fb5-a4e3-86b9184e472e,5b0b0edf-c2f2-4359-92d5-d245f8826111,Amy Thomas Howorth,1375199,HOWORTH FOR MANHATTAN BEACH CITY COUNCIL 2015; AMY,HOWORTH FOR MANHATTAN BEACH CITY COUNCIL 2015; AMY,310,ACTIVE,40002:CONTROLLED,0:N/A,AMY HOWORTH,4000.0,"kept confirmed: controlled by this person, name matches, SOS e-filed reports"
847bd3af-d80b-413f-82ee-e787e636d675,ba647863-25fb-4ccf-9cb0-5a1c912d1b27,Ana Valencia,1443501,VALENCIA FOR ASSEMBLY 2022; ANA,VALENCIA FOR ASSEMBLY 2022; ANA,213,TERMINATED,40002:CONTROLLED,0:N/A,ANA VALENCIA,52957.0,"kept confirmed: controlled by this person, name matches, SOS e-filed reports"
7eda83f2-f2c7-4d90-9da5-d7263e59b0c5,579fb5f2-2313-4423-a412-b4ae101c6e8e,Andrea Alarcón,1452797,ALARCON FOR PALMDALE CITY COUNCIL 2022; ANDREA,ALARCON FOR PALMDALE CITY COUNCIL 2022; ANDREA,213,TERMINATED,40002:CONTROLLED,0:N/A,ANDREA ALARCON,0.0,"kept confirmed: controlled by this person, name matches, SOS e-filed reports"
cd09dbaf-1352-4528-bac9-8c3ca4f39c01,d2498737-1f26-493c-b724-3e9063ce18f1,Andrew C. Lara,1468474,LARA FOR PICO RIVERA CITY COUNCIL 2024; ANDREW C.,LARA FOR PICO RIVERA CITY COUNCIL 2024; ANDREW C.,916,ACTIVE,40002:CONTROLLED,0:N/A,,0.0,"kept confirmed: controlled, no controlling candidate on file and no SOS reports (local committee; loads nothing)"
83acab9f-eed1-44c9-9a66-72fbd82d932a,f34cded6-da16-4ce7-aed9-e5ef2b905108,Andrew Chou,1440052,CHOU FOR DIAMOND BAR CITY COUNCIL 2022; ANDREW,CHOU FOR DIAMOND BAR CITY COUNCIL 2022; ANDREW,626,TERMINATED,40002:CONTROLLED,0:N/A,,0.0,"kept confirmed: controlled, no controlling candidate on file and no SOS reports (local committee; loads nothing)"
6e696939-716c-4118-9de9-0c33a22a427c,35f41c8d-0460-45c7-9e8c-28be5c42fb56,Angie Jimenez,1441516,JIMENEZ FOR MONTEBELLO CITY COUNCIL 2022; ANGIE,JIMENEZ FOR MONTEBELLO CITY COUNCIL 2022; ANGIE,213,TERMINATED,40002:CONTROLLED,0:N/A,,0.0,"kept confirmed: controlled, no controlling candidate on file and no SOS reports (local committee; loads nothing)"
2eb8f721-aea0-4218-8725-4ba22b752f7d,751a4678-0c36-443b-8ccb-30a52c94c494,Annette Rodriguez,1376115,RODRIGUEZ TO CITY COUNCIL 2015; COMMITTEE TO ELECT ANNETTE,RODRIGUEZ TO CITY COUNCIL 2015; COMMITTEE TO ELECT ANNETTE,562,TERMINATED,40002:CONTROLLED,0:N/A,,0.0,"kept confirmed: controlled, no controlling candidate on file and no SOS reports (local committee; loads nothing)"
f93b8d87-dfe8-44e4-b8bb-1a7c37d5780a,b7dc60f1-7d9f-4ac8-abb1-a977ffd25d26,Armond Aghakhanian,1425801,AGHAKHANIAN FOR BURBANK SCHOOL BOARD 2020; DR. ARMOND,AGHAKHANIAN FOR BURBANK SCHOOL BOARD 2020; DR. ARMOND,818,TERMINATED,40002:CONTROLLED,0:N/A,,0.0,"kept confirmed: controlled, no controlling candidate on file and no SOS reports (local committee; loads nothing)"
