politician_source_id,politician_id,politician,cmt_id,source_type,cmt_nm,socrata_cand_name,socrata_seat,socrata_election,surname_whole_word,contribution_rows,amount,outcome,reason
43ab3d44-d997-4edb-b351-5db6792c8a4f,fb1f120a-8821-4649-a209-03b6b77e0105,David Fu,1340011,candidate_committee,Furutani for City Council 2011,"Furutani, Warren",City Council Member - District 15,2011 CD 15 Special Election,f,937,419305.52,disputed,"LA City Ethics open data (2026-09-24): the committee of Warren Furutani, a 2011 LA City Council District 15 candidate; David Fu is an Arcadia council member. Linked by audit-socrata-committees.ts because the surname ""Fu"" is a substring of ""Furutani""."
4ba8040b-79f3-4f26-8c4c-706fab6f558f,41ef8aaa-b604-4725-b46d-dab1656cc198,Fiona Ma,1459819,candidate_committee,Marisa Alcaraz for City Council 2023 General,"Alcaraz , Marisa",City Council Member - District 6,2023 CD 6 Special Election,f,371,345023.51,disputed,"LA City Ethics open data (2026-09-24): the committee of Marisa Alcaraz, a 2023 LA City Council District 6 candidate; Fiona Ma is the California State Treasurer. Linked by audit-socrata-committees.ts because the surname ""Ma"" is a substring of ""Marisa""."
1902e017-43fc-4b6a-8d20-8b6402db3efc,41ef8aaa-b604-4725-b46d-dab1656cc198,Fiona Ma,1292748,candidate_committee,Manley 4 Councilman Campaign,"Manley, Mike",City Council Member - District 10,2007 City Election,f,17,21900.00,disputed,"LA City Ethics open data (2026-09-24): the committee of Mike Manley, a 2007 LA City Council District 10 candidate; Fiona Ma is the California State Treasurer. Linked by audit-socrata-committees.ts because the surname ""Ma"" is a substring of ""Manley""."
4632a1fe-29e3-4d13-9a14-ff32659897bc,41ef8aaa-b604-4725-b46d-dab1656cc198,Fiona Ma,1333054,candidate_committee,Jabari S. Jumaane for City Council 2011,"Jumaane, Jabari",City Council Member - District 8,2011 City and LAUSD Elections,f,47,7758.26,disputed,"LA City Ethics open data (2026-09-24): the committee of Jabari Jumaane, a 2011 LA City Council District 8 candidate; Fiona Ma is the California State Treasurer. Linked by audit-socrata-committees.ts because the surname ""Ma"" is a substring of ""Jumaane""."
bc83c8bb-d0b6-44d7-9a0e-cbf6b85b2c34,41ef8aaa-b604-4725-b46d-dab1656cc198,Fiona Ma,1340357,candidate_committee,John Mavar for City Council 2011,"Mavar, John",City Council Member - District 15,2011 CD 15 Special Election,f,20,4144.59,disputed,"LA City Ethics open data (2026-09-24): the committee of John Mavar, a 2011 LA City Council District 15 candidate; Fiona Ma is the California State Treasurer. Linked by audit-socrata-committees.ts because the surname ""Ma"" is a substring of ""Mavar""."
6280a391-95e6-4c14-8722-ed0a3e5035db,41ef8aaa-b604-4725-b46d-dab1656cc198,Fiona Ma,1346350,candidate_committee,Emile Mack for City Council 2013,"Mack, Emile",City Council Member - District 13,2013 City and LAUSD Elections,f,414,258183.79,disputed,"LA City Ethics open data (2026-09-24): the committee of Emile Mack, a 2013 LA City Council District 13 candidate; Fiona Ma is the California State Treasurer. Linked by audit-socrata-committees.ts because the surname ""Ma"" is a substring of ""Mack""."
e4b34f69-656e-447a-9a13-a3c55f97bbed,41ef8aaa-b604-4725-b46d-dab1656cc198,Fiona Ma,1348750,candidate_committee,Matt Szabo for City Council 2013,"Szabo, Matt",City Council Member - District 13,2013 City and LAUSD Elections,f,463,275612.07,disputed,"LA City Ethics open data (2026-09-24): the committee of Matt Szabo, a 2013 LA City Council District 13 candidate; Fiona Ma is the California State Treasurer. Linked by audit-socrata-committees.ts because the surname ""Ma"" is a substring of ""Matt""."
3676d6b7-6f91-4a9f-8ad7-6b2505cd96cd,41ef8aaa-b604-4725-b46d-dab1656cc198,Fiona Ma,1437338,candidate_committee,Hellman for City Council 2022,"Hellman , Mary",City Council Member - District 13,2022 City and LAUSD Elections,f,24,5130.00,disputed,"LA City Ethics open data (2026-09-24): the committee of Mary Hellman, a 2022 LA City Council District 13 candidate; Fiona Ma is the California State Treasurer. Linked by audit-socrata-committees.ts because the surname ""Ma"" is a substring of ""Hellman""."
8d018a77-33ac-40c4-9797-f02c9e3360c5,41ef8aaa-b604-4725-b46d-dab1656cc198,Fiona Ma,1457146,candidate_committee,Marisa Alcaraz for City Council 2023,"Alcaraz , Marisa",City Council Member - District 6,2023 CD 6 Special Election,f,343,299154.55,disputed,"LA City Ethics open data (2026-09-24): the committee of Marisa Alcaraz, a 2023 LA City Council District 6 candidate; Fiona Ma is the California State Treasurer. Linked by audit-socrata-committees.ts because the surname ""Ma"" is a substring of ""Marisa""."
5697874a-6042-4785-87d7-83f6ece9b84a,41ef8aaa-b604-4725-b46d-dab1656cc198,Fiona Ma,1445187,candidate_committee,Manuel for City Council 2022,"Manuel, Chad",City Council Member - District 13,2022 City and LAUSD Elections,f,2,0.00,disputed,"LA City Ethics open data (2026-09-24): the committee of Chad Manuel, a 2022 LA City Council District 13 candidate; Fiona Ma is the California State Treasurer. Linked by audit-socrata-committees.ts because the surname ""Ma"" is a substring of ""Manuel""."
bf61d191-24ff-4f6a-95f5-10f232f5802f,e086df00-1e48-4882-9594-82f4e9ee273c,Francis De Leon Sanchez,1483817,candidate_committee,GRANDE FOR CITY COUNCIL 2026,"Grande, Nelson",City Council Member - District 1,2026 City and LAUSD Elections,f,132,39652.68,disputed,"LA City Ethics open data (2026-09-24): the committee of Nelson Grande, a 2026 LA City Council District 1 candidate; Francis De Leon Sanchez is a Bell Gardens council member. Linked by audit-socrata-committees.ts by a surname substring match (the name it matched then is not recorded); no LA City race is in Bell Gardens."
