link_id,politician_id,row_name,row_seat,external_id,stored_committee_name,official_committee_name,filer_area_code,cal_access_status,category,sub_category,controlling_candidate,sos_reports,action,reason
a40bbb67-d949-458c-8631-318be830e09d,8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,U.S. Senate - California,1066273,SCHIFF FOR STATE SENATE,SCHIFF FOR STATE SENATE,916,TERMINATED 07/12/2002,40002:CONTROLLED,0:N/A,ADAM BENNETT SCHIFF,,leave_no_sos_reports,"controlled by this person, but no SOS e-filed reports (files with a local filing officer): confirming would load no data and would show 'data pending' for ever"
bd1ddd58-55a7-402f-ae8f-ef3ec35a579b,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Council Member,1341967,NAZARIAN FOR ASSEMBLY 2012,NAZARIAN FOR ASSEMBLY 2012,818,TERMINATED 06/30/2018,40002:CONTROLLED,0:N/A,ADRIN NAZARIAN,"F460 x39, F497 x104",confirm,"Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate ADRIN NAZARIAN (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x39, F497 x104."
91815b1c-be90-413f-b48e-77ba24dc07be,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Council Member,1354458,NAZARIAN FOR ASSEMBLY 2014,NAZARIAN FOR ASSEMBLY 2014,626,TERMINATED 06/30/2015,40002:CONTROLLED,0:N/A,ADRIN NAZARIAN,"F460 x11, F497 x127",confirm,"Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate ADRIN NAZARIAN (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x11, F497 x127."
319407f9-b921-4844-8982-5a9d8734b759,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Council Member,1374420,NAZARIAN FOR ASSEMBLY 2016,NAZARIAN FOR ASSEMBLY 2016,626,TERMINATED 12/31/2017,40002:CONTROLLED,0:N/A,ADRIN NAZARIAN,"F460 x12, F497 x98",confirm,"Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate ADRIN NAZARIAN (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x12, F497 x98."
02268e0b-60e6-43d3-a6c3-901f78a68a8f,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Council Member,1392480,NAZARIAN FOR ASSEMBLY 2018,NAZARIAN FOR ASSEMBLY 2018,626,TERMINATED 06/30/2019,40002:CONTROLLED,0:N/A,ADRIN NAZARIAN,"F460 x13, F497 x102",confirm,"Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate ADRIN NAZARIAN (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x13, F497 x102."
0db6c13a-5148-4367-856a-90a8e5476234,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Council Member,1414380,NAZARIAN FOR ASSEMBLY 2020,NAZARIAN FOR ASSEMBLY 2020,626,TERMINATED 07/31/2021,40002:CONTROLLED,0:N/A,ADRIN NAZARIAN,"F460 x15, F497 x85",confirm,"Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate ADRIN NAZARIAN (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x15, F497 x85."
bdd9fc51-1105-457e-80e7-5a120b1150e9,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Council Member,1435021,NAZARIAN FOR ASSEMBLY 2022,NAZARIAN FOR ASSEMBLY 2022,626,TERMINATED 04/15/2023,40002:CONTROLLED,0:N/A,ADRIN NAZARIAN,"F460 x10, F497 x18",confirm,"Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate ADRIN NAZARIAN (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x10, F497 x18."
8ff22147-f55c-4857-ae46-169aa3fd3a64,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Council Member,1323151,NAZARIAN FOR ASSEMBLY IN 2010,NAZARIAN FOR ASSEMBLY IN 2010,818,TERMINATED 12/31/2009,40002:CONTROLLED,0:N/A,ADRIN NAZARIAN,F460 x1,confirm,Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate ADRIN NAZARIAN (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x1.
a7244798-c0fe-4e7e-8e22-2ab044ecdf73,ea803096-927f-41fe-98e1-deab56291810,Al Muratsuchi,Assembly Member,1479966,MURATSUCHI ASSEMBLY 2024 OFFICEHOLDER ACCOUNT,MURATSUCHI ASSEMBLY 2024 OFFICEHOLDER ACCOUNT,916,ACTIVE,40002:CONTROLLED,0:N/A,AL MURATSUCHI,F460 x7,confirm,Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate AL MURATSUCHI (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x7.
22977389-9901-4d13-84b4-4a469e945207,ea803096-927f-41fe-98e1-deab56291810,Al Muratsuchi,Assembly Member,1341558,MURATSUCHI FOR ASSEMBLY 2012,MURATSUCHI FOR ASSEMBLY 2012,323,TERMINATED 06/30/2013,40002:CONTROLLED,0:N/A,AL MURATSUCHI,"F460 x12, F497 x114",confirm,"Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate AL MURATSUCHI (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x12, F497 x114."
a5192f9a-444e-49dd-bb48-b6c6a98be5bf,ea803096-927f-41fe-98e1-deab56291810,Al Muratsuchi,Assembly Member,1353738,MURATSUCHI FOR ASSEMBLY 2014,MURATSUCHI FOR ASSEMBLY 2014,213,TERMINATED 06/12/2015,40002:CONTROLLED,0:N/A,AL MURATSUCHI,"F460 x15, F497 x140",confirm,"Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate AL MURATSUCHI (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x15, F497 x140."
1cacc887-e308-4903-aba0-01d4932ce825,ea803096-927f-41fe-98e1-deab56291810,Al Muratsuchi,Assembly Member,1375498,MURATSUCHI FOR ASSEMBLY 2016,MURATSUCHI FOR ASSEMBLY 2016,213,TERMINATED 05/01/2017,40002:CONTROLLED,0:N/A,AL MURATSUCHI,"F460 x11, F497 x120",confirm,"Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate AL MURATSUCHI (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x11, F497 x120."
551eae5e-21e6-4077-80ad-f0334dc84670,ea803096-927f-41fe-98e1-deab56291810,Al Muratsuchi,Assembly Member,1392662,MURATSUCHI FOR ASSEMBLY 2018,MURATSUCHI FOR ASSEMBLY 2018,213,TERMINATED 03/27/2019,40002:CONTROLLED,0:N/A,AL MURATSUCHI,"F460 x13, F497 x127",confirm,"Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate AL MURATSUCHI (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x13, F497 x127."
b4ee3f7b-2e68-44a1-9d9d-c262a07e8dd6,ea803096-927f-41fe-98e1-deab56291810,Al Muratsuchi,Assembly Member,1415052,MURATSUCHI FOR ASSEMBLY 2020,MURATSUCHI FOR ASSEMBLY 2020,213,TERMINATED 04/05/2021,40002:CONTROLLED,0:N/A,AL MURATSUCHI,"F460 x13, F497 x71",confirm,"Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate AL MURATSUCHI (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x13, F497 x71."
2446525a-5703-43e3-bcd2-dde659bda308,ea803096-927f-41fe-98e1-deab56291810,Al Muratsuchi,Assembly Member,1435331,MURATSUCHI FOR ASSEMBLY 2022,MURATSUCHI FOR ASSEMBLY 2022,916,TERMINATED 02/06/2023,40002:CONTROLLED,0:N/A,AL MURATSUCHI,"F460 x17, F497 x78",confirm,"Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate AL MURATSUCHI (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x17, F497 x78."
3e94a7b1-b90d-4b80-9b5d-a2d667f5672e,ea803096-927f-41fe-98e1-deab56291810,Al Muratsuchi,Assembly Member,1457643,MURATSUCHI FOR ASSEMBLY 2024,MURATSUCHI FOR ASSEMBLY 2024,916,TERMINATED 12/09/2025,40002:CONTROLLED,0:N/A,AL MURATSUCHI,"F460 x12, F497 x88",confirm,"Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate AL MURATSUCHI (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x12, F497 x88."
b58adc6e-63fc-4556-938a-3582e7281006,7bad257e-66a9-46a7-a9fd-d8c80bf454c3,Albert F. Ambriz,Council Member,1410872,AMBRIZ FOR CITY COUNCILMEMBER DISTRICT 3 2018,AMBRIZ FOR CITY COUNCILMEMBER DISTRICT 3 2018,209,ACTIVE,40002:CONTROLLED,0:N/A,,,leave_no_candidate_name,"controlled, but Cal-Access names no controlling candidate and the SOS holds no e-filed reports: nothing identifies the person and nothing would load"
3ca6e57b-96f6-4e12-a052-39b47a81c96f,7bad257e-66a9-46a7-a9fd-d8c80bf454c3,Albert F. Ambriz,Council Member,1247400,AMBRIZ FOR COUNCIL,AMBRIZ FOR COUNCIL,714,TERMINATED 12/31/2010,40002:CONTROLLED,0:N/A,,,leave_no_candidate_name,"controlled, but Cal-Access names no controlling candidate and the SOS holds no e-filed reports: nothing identifies the person and nothing would load"
33659f65-de67-45e2-881a-3674a5c6279b,1ef074ea-8237-48b9-b84d-8b165e790bbb,Ali Saleh,Mayor,1343313,SALEH FOR ASSEMBLY 2012,SALEH FOR ASSEMBLY 2012,323,TERMINATED 12/21/2012,40002:CONTROLLED,0:N/A,ALI SALEH,F460 x7,confirm,Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate ALI SALEH (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x7.
c1327f16-b292-402a-9b6c-56b85d20b706,1ef074ea-8237-48b9-b84d-8b165e790bbb,Ali Saleh,Mayor,1334427,SALEH FOR CITY COUNCIL 2024,SALEH FOR CITY COUNCIL 2024,213,ACTIVE,40002:CONTROLLED,0:N/A,ALI SALEH,"F460 x17, F497 x18",confirm,"Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate ALI SALEH (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x17, F497 x18."
2fce7f96-4c2f-4e06-b86b-2818a9a010f5,1ef074ea-8237-48b9-b84d-8b165e790bbb,Ali Saleh,Mayor,1415367,SALEH FOR SENATE 2019,SALEH FOR SENATE 2019,213,TERMINATED 06/30/2023,40002:CONTROLLED,0:N/A,ALI SALEH,"F460 x13, F497 x28",confirm,"Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate ALI SALEH (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x13, F497 x28."
06bfa589-faa0-42a3-9c75-d17dac502e4e,1ef074ea-8237-48b9-b84d-8b165e790bbb,Ali Saleh,Mayor,1395460,SALEH FOR SENATE 2020,SALEH FOR SENATE 2020,213,TERMINATED 05/08/2019,40002:CONTROLLED,0:N/A,ALI SALEH,"F460 x7, F497 x6",confirm,"Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate ALI SALEH (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x7, F497 x6."
6ba8c337-c6f5-4daf-bebf-4739b157bc1d,2382e3c5-f6ff-4aeb-88c6-8538df3ea05d,Ali Taj,Council Member,1474786,TAJ FOR ASSEMBLY 2026,TAJ FOR ASSEMBLY 2026,916,TERMINATED 07/27/2026,40002:CONTROLLED,0:N/A,ALI SAJJAD TAJ; Ali Taj,"F460 x8, F497 x51",confirm,"Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate ALI SAJJAD TAJ; Ali Taj (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x8, F497 x51."
cff59122-bc48-43fc-a24b-09b30c7c3d9d,2382e3c5-f6ff-4aeb-88c6-8538df3ea05d,Ali Taj,Council Member,1358275,TAJ FOR CITY COUNCIL 2018,TAJ FOR CITY COUNCIL 2018,562,TERMINATED 07/09/2026,40002:CONTROLLED,0:N/A,Ali Taj,F460 x5,confirm,Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate Ali Taj (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x5.
d75b5c60-7b0f-4d76-a3e2-850d335c7935,2382e3c5-f6ff-4aeb-88c6-8538df3ea05d,Ali Taj,Council Member,1403289,TAJ FOR SENATE 2018,TAJ FOR SENATE 2018,323,TERMINATED 12/31/2018,40002:CONTROLLED,0:N/A,ALI SAJJAD TAJ; Ali Taj,"F460 x4, F497 x37",confirm,"Cal-Access bulk export (2026-09-23): category CONTROLLED; controlling candidate ALI SAJJAD TAJ; Ali Taj (FILER_LINKS_CD / Form 460 cover); SOS e-filed reports F460 x4, F497 x37."
ff40cd01-eeeb-4a26-842d-4b4d237d56e8,218c0fc3-5992-464d-b78c-c4f11668f0be,Alicia Weintraub,Council Member,1059149,WEINTRAUB FOR ASSEMBLY,WEINTRAUB FOR ASSEMBLY,213,TERMINATED 06/24/1993,40002:CONTROLLED,0:N/A,,,leave_no_candidate_name,"controlled, but Cal-Access names no controlling candidate and the SOS holds no e-filed reports: nothing identifies the person and nothing would load"
