link_id,politician_id,row_name,row_seat,source_system,external_id,stored_committee_name,official_committee_name,filer_area_code,cal_access_status,la_city_ethics_candidate,prior_status,name_match,verdict,basis,reason,lead
a40bbb67-d949-458c-8631-318be830e09d,8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,U.S. Senate - California (California),cal_access,1066273,SCHIFF FOR STATE SENATE,SCHIFF FOR STATE SENATE,916,TERMINATED 07/12/2002,,needs_research,surname only,keep needs_research,unresolved,,
8ff22147-f55c-4857-ae46-169aa3fd3a64,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Los Angeles City Council District 2,cal_access,1323151,NAZARIAN FOR ASSEMBLY IN 2010,NAZARIAN FOR ASSEMBLY IN 2010,818,TERMINATED 12/31/2009,,needs_research,surname only,keep needs_research,unresolved,,
bd1ddd58-55a7-402f-ae8f-ef3ec35a579b,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Los Angeles City Council District 2,cal_access,1341967,NAZARIAN FOR ASSEMBLY 2012,NAZARIAN FOR ASSEMBLY 2012,818,TERMINATED 06/30/2018,,needs_research,surname only,keep needs_research,unresolved,,
d41c1708-c56a-4441-8259-d8909c0c1588,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Los Angeles City Council District 2,cal_access,1347821,DEMOCRATS FOR TRANSPARENCY IN DEMOCRACY OPPOSED TO NAZARIAN FOR ASSEMBLY 2012. SPONSORED BY EDVOICE INDEPENDENT EXPENDITURE COMMITTEE,DEMOCRATS FOR TRANSPARENCY IN DEMOCRACY OPPOSED TO NAZARIAN FOR ASSEMBLY 2012. SPONSORED BY EDVOICE INDEPENDENT EXPENDITURE COMMITTEE,916,TERMINATED 12/31/2012,,needs_research,surname only,disputed,"B another named place or district, or an opposing / ballot / recall committee","surname-only auto-link: Cal-Access 1347821 ""DEMOCRATS FOR TRANSPARENCY IN DEMOCRACY OPPOSED TO NAZARIAN FOR ASSEMBLY 2012. SPONSORED BY EDVOICE INDEPENDENT EXPENDITURE COMMITTEE"" -- an independent-expenditure committee OPPOSING Nazarian for Assembly 2012, not the row's own committee; filer area code 916 (Sacramento); this row is Adrin Nazarian, Los Angeles City Council District 2",
91815b1c-be90-413f-b48e-77ba24dc07be,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Los Angeles City Council District 2,cal_access,1354458,NAZARIAN FOR ASSEMBLY 2014,NAZARIAN FOR ASSEMBLY 2014,626,TERMINATED 06/30/2015,,needs_research,surname only,keep needs_research,unresolved,,
319407f9-b921-4844-8982-5a9d8734b759,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Los Angeles City Council District 2,cal_access,1374420,NAZARIAN FOR ASSEMBLY 2016,NAZARIAN FOR ASSEMBLY 2016,626,TERMINATED 12/31/2017,,needs_research,surname only,keep needs_research,unresolved,,
02268e0b-60e6-43d3-a6c3-901f78a68a8f,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Los Angeles City Council District 2,cal_access,1392480,NAZARIAN FOR ASSEMBLY 2018,NAZARIAN FOR ASSEMBLY 2018,626,TERMINATED 06/30/2019,,needs_research,surname only,keep needs_research,unresolved,,
0db6c13a-5148-4367-856a-90a8e5476234,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Los Angeles City Council District 2,cal_access,1414380,NAZARIAN FOR ASSEMBLY 2020,NAZARIAN FOR ASSEMBLY 2020,626,TERMINATED 07/31/2021,,needs_research,surname only,keep needs_research,unresolved,,
bdd9fc51-1105-457e-80e7-5a120b1150e9,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Los Angeles City Council District 2,cal_access,1435021,NAZARIAN FOR ASSEMBLY 2022,NAZARIAN FOR ASSEMBLY 2022,626,TERMINATED 04/15/2023,,needs_research,surname only,keep needs_research,unresolved,,
645a8ff6-afc0-4954-bdc8-4677ff4b3bc1,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Los Angeles City Council District 2,cal_access,1445999,NAZARIAN FOR CITY COUNCIL 2022; BEVERLY HILLS NEIGHBORS SUPPORTING,NAZARIAN FOR CITY COUNCIL 2022; BEVERLY HILLS NEIGHBORS SUPPORTING,916,TERMINATED 12/27/2022,,needs_research,surname only,disputed,"B another named place or district, or an opposing / ballot / recall committee","surname-only auto-link: Cal-Access 1445999 ""NAZARIAN FOR CITY COUNCIL 2022; BEVERLY HILLS NEIGHBORS SUPPORTING"" -- a campaign for the Beverly Hills City Council (2022) in Beverly Hills, not for the row's seat; filer area code 916 (Sacramento); this row is Adrin Nazarian, Los Angeles City Council District 2",
72eab27b-0fe4-4cb8-a30f-5156d13e608c,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Los Angeles City Council District 2,cal_access,1453755,NAZARIAN FOR CITY COUNCIL 2024 - OFFICEHOLDER ACCOUNT; ADRIN,NAZARIAN FOR CITY COUNCIL 2024 - OFFICEHOLDER ACCOUNT; ADRIN,323,ACTIVE,"Nazarian, Adrin",needs_research,full name,keep needs_research,full name (out of scope),,
f20343cd-8915-442f-b30b-deeb430a477d,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Los Angeles City Council District 2,cal_access,1457723,NAZARIAN FOR ASSEMBLY 2024; ADRIN,NAZARIAN FOR ASSEMBLY 2024; ADRIN,323,TERMINATED 06/30/2024,,needs_research,full name,keep needs_research,full name (out of scope),,
bde22829-5502-4bed-aa34-360c0eb37d3f,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Los Angeles City Council District 2,cal_access,1468736,NAZARIAN FOR STATE CONTROLLER 2030; ADRIN,NAZARIAN FOR STATE CONTROLLER 2030; ADRIN,323,ACTIVE,,needs_research,full name,keep needs_research,full name (out of scope),,
8823a46e-3268-431c-9dc6-a63f169643e2,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Los Angeles City Council District 2,cal_access,1473037,"NAZARIAN FOR COUNCIL 2024: SPONSORED BY BIZFED PAC, A PROJECT OF THE LOS ANGELES COUNTY BUSINESS FEDERATION; GOOD JOBS AND SAFE NEIGHBORHOODS - ANGELENOS SUPPORTING ADRIN","NAZARIAN FOR COUNCIL 2024: SPONSORED BY BIZFED PAC, A PROJECT OF THE LOS ANGELES COUNTY BUSINESS FEDERATION; GOOD JOBS AND SAFE NEIGHBORHOODS - ANGELENOS SUPPORTING ADRIN",323,TERMINATED 12/26/2024,,needs_research,full name,keep needs_research,full name (out of scope),,
9a460229-f070-4ec4-bd56-a722b4fcf8b9,e30ddde5-a722-477b-837b-056fdc7e2d6b,Adrin Nazarian,Los Angeles City Council District 2,cal_access,1475315,NAZARIAN FOR CITY COUNCIL 2024 SPONSORED BY LOS ANGELES COUNTY FEDERATION OF LABOR AFL-CIO; WORKING FAMILIES IN SUPPORT OF ADRIN,NAZARIAN FOR CITY COUNCIL 2024 SPONSORED BY LOS ANGELES COUNTY FEDERATION OF LABOR AFL-CIO; WORKING FAMILIES IN SUPPORT OF ADRIN,213,TERMINATED 06/30/2025,,needs_research,full name,keep needs_research,full name (out of scope),,
8bbd2d19-abc1-4860-b675-c5e03e4a2686,ea803096-927f-41fe-98e1-deab56291810,Al Muratsuchi,Assembly Member (Assembly District 66),cal_access,1277198,"MURATSUCHI, FRIENDS OF AL","MURATSUCHI, FRIENDS OF AL",310,TERMINATED 03/26/2007,,needs_research,full name,keep needs_research,full name (out of scope),,
5bccd773-d2b9-46bb-b686-926320027311,ea803096-927f-41fe-98e1-deab56291810,Al Muratsuchi,Assembly Member (Assembly District 66),cal_access,1318496,"MURATSUCHI FOR ASSEMBLY 2010, AL","MURATSUCHI FOR ASSEMBLY 2010, AL",310,TERMINATED 11/25/2009,,needs_research,full name,keep needs_research,full name (out of scope),,
914eeaec-2ce3-45ce-bab0-f2bc4b7b7bfb,ea803096-927f-41fe-98e1-deab56291810,Al Muratsuchi,Assembly Member (Assembly District 66),cal_access,1320547,"MURATSUCHI FOR SCHOOL BOARD 2009, AL","MURATSUCHI FOR SCHOOL BOARD 2009, AL",310,TERMINATED 06/30/2010,,needs_research,full name,keep needs_research,full name (out of scope),,
