id,app,screen,description,severity,type,evidence,baseline_ref
G-114-001,essentials,Landing — https://essentials.empowered.vote/,Address field has no autocomplete dropdown during typing,confusing,ux-friction,screenshots/essentials/02-address-typed.png,n/a
G-114-002,essentials,Results — https://essentials.empowered.vote/results?q=200+W+Kirkwood+Ave%2C+Bloomington%2C+IN+47404,Address rendered in ALL CAPS in results header regardless of input case,minor,content,screenshots/essentials/03-results-all.png,n/a
G-114-003,essentials,Results (Representatives tab default) — https://essentials.empowered.vote/results?q=200+W+Kirkwood+Ave%2C+Bloomington%2C+IN+47404,Default Representatives tab hides primary challengers,blocker,ux-friction,screenshots/essentials/03-results-all.png,n/a
G-114-004,essentials,Results (Representatives tab and Elections tab) — https://essentials.empowered.vote/results?q=200+W+Kirkwood+Ave%2C+Bloomington%2C+IN+47404,Same candidate surfaces under different offices on Representatives vs Elections tabs,confusing,content,screenshots/essentials/03-results-all.png,n/a
G-114-005,essentials,Results — https://essentials.empowered.vote/results?q=200+W+Kirkwood+Ave%2C+Bloomington%2C+IN+47404,Representatives is the wrong default tab in the month before a primary,confusing,ux-friction,screenshots/essentials/03-results-all.png,n/a
G-114-006,essentials,Candidate profile — https://essentials.empowered.vote/candidate/7e768cda-38f3-4511-ad7c-c8e877c5abfa,Profile page header shows wrong election date May 4 2026,blocker,content,screenshots/essentials/05-pierce-profile.png,n/a
G-114-007,essentials,Candidate profile — https://essentials.empowered.vote/candidate/7e768cda-38f3-4511-ad7c-c8e877c5abfa,Matt Pierce profile has no personal biography paragraph,confusing,data,screenshots/essentials/05-pierce-profile.png,State Legislative Races — Indiana State Representative District 61 (Matt Pierce / Lilliana Young)
G-114-008,essentials,Candidate profile — https://essentials.empowered.vote/candidate/7e768cda-38f3-4511-ad7c-c8e877c5abfa,Matt Pierce profile has no visible Read & Rank section despite 10 quotes in DB,confusing,feature,screenshots/essentials/05-pierce-profile.png,n/a
G-114-009,essentials,Candidate profile — https://essentials.empowered.vote/candidate/cb131cec-4fb4-4619-a2f0-7cdea745a2e9,Lilliana Young has no headshot — initials placeholder only,confusing,data,screenshots/essentials/06-young-profile.png,State Legislative Races — Indiana State Representative District 61 (Matt Pierce / Lilliana Young)
G-114-010,essentials,Candidate profile (multiple),4 of the May 5 primary candidates at this address are DB stubs with empty profile pages,blocker,data,screenshots/essentials/07-arrington-empty-profile.png,County-Wide Races — Monroe County Prosecuting Attorney (Arrington/Oliphant); Assessor (Nyquist/Sharp); Clerk (Branham/Davis/Lucas/Hays)
G-114-011,compass,Results (Compare picker open) — https://compass.empowered.vote/results,Compare picker defaults to all-states with no location-aware prioritization,confusing,ux-friction,screenshots/compass/06-compare-picker.png,n/a
G-114-012,compass,Results (Compare picker Indiana filter) — https://compass.empowered.vote/results,Primary challengers absent from Compass compare picker — contested May 5 races undecidable,blocker,data,screenshots/compass/07-indiana-picker-filtered.png,"Federal Races — U.S. Representative IN-9 challengers (Graham/Meyer/Peck/Roark); County-Wide Races — Prosecuting Attorney/Assessor/Clerk candidates"
G-114-013,compass,Results (comparison active) — https://compass.empowered.vote/results,4-step onboarding tooltip fires on first comparison and blocks the radar view,confusing,ux-friction,screenshots/compass/08-compare-pierce-overlay.png,n/a
G-114-014,compass,Results (compare panel) — https://compass.empowered.vote/results,Matt Pierce headshot missing in Compass compare panel despite headshot existing in Essentials,confusing,feature,screenshots/compass/09-compare-clean.png,n/a
G-114-015,compass,Quiz — https://compass.empowered.vote/quiz?mode=full,Religious Freedom question appears to repeat in the 33-question calibration,minor,content,Auto-advance JS loop observation — appeared at Q4 and Q20,n/a
G-114-016,read-rank,Topic list — https://readrank.empowered.vote/,Both location filter mechanisms are non-functional,blocker,feature,screenshots/read-rank/03-address-filter-no-change.png,n/a
