state,cd,geo_id,target_election,existing_race_id,incumbent_name,incumbent_pid,incumbent_external_id,incumbent_stance_count,incumbent_top_up_tier,nominee_status,general_candidates,new_records_needed,field_status,source_url
GA,1,1301,GA 2026 Statewide General,,"Earl L. ""Buddy"" Carter",4bf58192-5208-4c5f-93f1-ac0a7e6b162d,-13001,15,partial,open-seat-vacancy,Jim Kingston (Republican); Amanda Hollowell (Democratic),Jim Kingston; Amanda Hollowell,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia
GA,2,1302,GA 2026 Statewide General,,"Sanford D. Bishop, Jr.",a172a95a-b866-4ece-a7e2-47487c5ec471,-13002,18,partial,renominated,Sanford D. Bishop Jr. (Democratic); Matt Day (Republican),Matt Day,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia
GA,3,1303,GA 2026 Statewide General,,Brian Jack,eabb384b-b541-4232-978a-fbb7fcad9290,-13003,8,partial,renominated,Brian Jack (Republican); Maura Keller (Democratic),Maura Keller,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia
GA,4,1304,GA 2026 Statewide General,,"Henry C. ""Hank"" Johnson, Jr.",135f4a8f-6e03-453f-a5b2-9a3b338f26c3,-13004,18,partial,renominated,Hank Johnson Jr. (Democratic); James Duffe (Republican),James Duffe,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia
GA,5,1305,GA 2026 Statewide General,,Nikema Williams,acb046eb-1db6-44bf-a50b-32d16df15057,-13005,18,partial,renominated,Nikema Williams (Democratic); John Salvesen (Republican),John Salvesen,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia
GA,6,1306,GA 2026 Statewide General,,Lucy McBath,66e69f62-7694-4e9a-89cf-8b699add8e1f,-13006,17,partial,renominated,Lucy McBath (Democratic); Kevin Martin (Republican),Kevin Martin,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia
GA,7,1307,GA 2026 Statewide General,,Richard McCormick,b295210e-a45d-4a80-8001-47cdc522a3e5,-13007,12,partial,renominated,Richard McCormick (Republican); Anthony Kozycki (Democratic),Anthony Kozycki,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia
GA,8,1308,GA 2026 Statewide General,,Austin Scott,247e657a-8c30-4194-8702-81adce0beea4,-13008,15,partial,renominated,Austin Scott (Republican); Kelly Esti (Democratic),Kelly Esti,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia
GA,9,1309,GA 2026 Statewide General,,Andrew S. Clyde,94d6a044-7a03-400d-8092-00aac9859c9b,-13009,15,partial,renominated,Andrew S. Clyde (Republican); Caitlyn Gegen (Democratic),Caitlyn Gegen,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia
GA,10,1310,GA 2026 Statewide General,,Mike Collins,b6542655-fc71-4b18-a022-6528522cdcae,-13010,13,partial,open-seat-vacancy,Houston Gaines (Republican); Pamela DeLancy (Democratic),Houston Gaines; Pamela DeLancy,decided,"https://ballotpedia.org/Georgia's_10th_Congressional_District_election,_2026"
GA,11,1311,GA 2026 Statewide General,,Barry Loudermilk,7f0bb866-57f4-45de-88ae-5c9977f086bd,-13011,14,partial,retired,John Cowan (Republican); Chris Harden (Democratic),John Cowan; Chris Harden,decided,https://www.atlantanewsfirst.com/2026/06/16/john-cowan-wins-gop-11th-district-runoff-will-face-democrat-chris-harden-this-fall/
GA,12,1312,GA 2026 Statewide General,,Rick W. Allen,3de9e882-a816-42fc-ae70-aa93098c5d02,-13012,16,partial,renominated,Rick W. Allen (Republican); Ceretta Smith (Democratic),Ceretta Smith,decided,https://www.wrdw.com/2026/06/17/ceretta-smith-wins-runoff-democratic-us-house-primary/
GA,13,1313,GA 2026 Statewide General,,VACANT,,,0,vacant,open-seat-vacancy,Jasmine Clark (Democratic); Jonathan Chavez (Republican),Jasmine Clark; Jonathan Chavez,decided,"https://ballotpedia.org/Georgia's_13th_Congressional_District_election,_2026"
GA,14,1314,GA 2026 Statewide General,,Clay Fuller,8c4ce29b-84ae-445b-9531-9fdaceb5d420,-13014,1,partial,renominated,Clay Fuller (Republican); Shawn Harris (Democratic),Shawn Harris,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia
IL,1,1701,IL 2026 Statewide General,,Jonathan L. Jackson,66da3b64-3dab-4f79-950a-475acc006dc8,-17001,22,partial,renominated,Jonathan Jackson (Democratic); Christian Maxwell (Republican),Christian Maxwell,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Illinois
IL,2,1702,IL 2026 Statewide General,,Robin L. Kelly,9d9ce75d-b1ba-4051-a87e-e84c1619be8a,-17002,17,partial,retired,Donna Miller (Democratic); Michael Noack (Republican); Ashley Banks (Independent),Donna Miller; Michael Noack; Ashley Banks,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Illinois
IL,3,1703,IL 2026 Statewide General,,Delia C. Ramirez,f74970a7-a63c-43e2-8033-d04b7f2bd64d,-17003,12,partial,renominated,Delia C. Ramirez (Democratic); Angel Oakley (Republican),Angel Oakley,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Illinois
IL,4,1704,IL 2026 Statewide General,,"Jesús G. ""Chuy"" García",2bc2ecee-9c21-47cd-ae0f-d712b1fa8b3e,-17004,16,partial,retired,Patty Garcia (Democratic); Lupe Castillo (Republican); Ed Hershey (Working Class); Chris Getty (Independent); Mayra Macias (Independent); Byron Sigcho-Lopez (Independent); Lindsay Church (Independent),Patty Garcia; Lupe Castillo; Ed Hershey; Chris Getty; Mayra Macias; Byron Sigcho-Lopez; Lindsay Church,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Illinois
IL,5,1705,IL 2026 Statewide General,,Mike Quigley,05e88b53-b6f4-4c5d-bcd2-f6b7b20f98d6,-17005,18,partial,renominated,Mike Quigley (Democratic); Tommy Hanson (Republican),Tommy Hanson,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Illinois
IL,6,1706,IL 2026 Statewide General,,Sean Casten,05cf439f-3932-4398-b97b-4fd9a7506934,-17006,17,partial,renominated,Sean Casten (Democratic); Niki Conforti (Republican),Niki Conforti,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Illinois
IL,7,1707,IL 2026 Statewide General,,Danny K. Davis,0e65d006-9ede-4d90-b13b-23874d67b674,-17007,18,partial,retired,La Shawn Ford (Democratic); Chad Koppie (Republican),La Shawn Ford; Chad Koppie,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Illinois
IL,8,1708,IL 2026 Statewide General,,Raja Krishnamoorthi,ee1a8680-16cf-40ee-bbee-09670cb296cc,-17008,19,partial,retired,Melissa Bean (Democratic); Jennifer Davis (Republican),Melissa Bean; Jennifer Davis,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Illinois
IL,9,1709,IL 2026 Statewide General,,Janice D. Schakowsky,4fbdecd3-3161-49da-a610-9b9312e72507,-17009,18,partial,retired,Daniel Biss (Democratic); John Elleson (Republican),Daniel Biss; John Elleson,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Illinois
IL,10,1710,IL 2026 Statewide General,,Bradley Scott Schneider,ecdb6fda-81cd-48bd-9403-a03a82f3ebad,-17010,17,partial,renominated,Bradley Scott Schneider (Democratic); Carl Lambrecht (Republican),Carl Lambrecht,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Illinois
IL,11,1711,IL 2026 Statewide General,,Bill Foster,f45dfff4-2279-4d59-b682-160bb402b37b,-17011,16,partial,renominated,Bill Foster (Democratic); Jeff Walter (Republican),Jeff Walter,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Illinois
IL,12,1712,IL 2026 Statewide General,,Mike Bost,01c4093a-db5a-4f92-9caa-b54c1e44c63a,-17012,16,partial,renominated,Mike Bost (Republican); Julie Fortier (Democratic),Julie Fortier,decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Illinois
