full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Joseph Morelle,,abortion,2,"Morelle is a member of the House Pro-Choice Caucus and declared himself pro-choice with a position of supporting unrestricted abortion rights (PVS survey, Aug 2018). Supports reproductive rights protections broadly but no documented stance on public funding at all stages, placing him at value 2 (keep abortion legal and accessible through the second trimester with rare exceptions afterward).",https://www.ontheissues.org/NY/Joe_Morelle.htm,https://en.wikipedia.org/wiki/Joe_Morelle,,
Joseph Morelle,,campaign-finance,2,"Morelle advocates a 'My Voice Voucher' system for small campaign contributions and supports public financing of federal campaigns (Dec 2018). This positions him at value 2 — strictly limiting corporate and dark money influence — rather than a full ban on private money.",https://www.ontheissues.org/NY/Joe_Morelle.htm,,,
Joseph Morelle,,civil-rights,2,"Morelle sponsored the Equal Rights Amendment ratification bill (Mar 2021), sponsored stricter police accountability rules (Mar 2021), voted YES on private lawsuits for school race discrimination (Sep 2020), and has advocated against Islamophobia. This aligns with value 2 — strengthening civil rights enforcement and addressing systemic discrimination.",https://www.ontheissues.org/NY/Joe_Morelle.htm,,,
Joseph Morelle,,climate-change,3,"Morelle stated 'climate change threatens our future and our economy' (Oct 2020), supports funding renewable energy like wind and solar, and supports regulating greenhouse gas emissions (Aug 2018). This aligns with value 3 — investing in clean energy while gradually reducing reliance on fossil fuels — with no documented support for emergency declarations or 2030 phase-out deadlines.",https://www.ontheissues.org/NY/Joe_Morelle.htm,,,"Climate change threatens our future and our economy.","Climate change threatens our future and our economy."
Joseph Morelle,,deportation,3,"Morelle voted YES on the Laken Riley Act in January 2025, which mandates detention and deportation processing of undocumented immigrants arrested for theft or violent crimes. He also supports a pathway to citizenship for long-term undocumented residents. This combination — deporting those with criminal records while supporting legal status for others — aligns with value 3 (focus deportation on recent arrivals while leaving long-term residents in place).",https://en.wikipedia.org/wiki/Joe_Morelle,https://www.ontheissues.org/NY/Joe_Morelle.htm,,
Joseph Morelle,,fossil-fuels,3,"Morelle supports renewable energy investment and greenhouse gas regulation, and views climate change as a serious threat, but has not sponsored bills to ban new drilling or stop permits. This positions him at value 3 — maintaining current production levels with existing environmental regulations — rather than the more aggressive fossil fuel restrictions at values 1 or 2.",https://www.ontheissues.org/NY/Joe_Morelle.htm,,,
Joseph Morelle,,healthcare,2,"When announcing his congressional candidacy in 2018, Morelle vowed to fight for universal health care; he supports expanding ACA coverage including drug companies (Nov 2018). His approach reflects value 2 — ensuring affordable coverage through a mix of public programs and regulated private insurance — rather than full single-payer (value 1).",https://www.ontheissues.org/NY/Joe_Morelle.htm,https://www.roccitymag.com/news/morelle,,
Joseph Morelle,,immigration,2,"Morelle opposes the border wall, supports pathways to citizenship for undocumented immigrants, sponsored a bill disallowing religion-based immigration bans (Apr 2021), and supports increasing high-skill and family-based visa caps (Sep 2019). Despite his YES vote on the Laken Riley Act, his overall record reflects value 2 — keeping legal immigration open while supporting public services regardless of status.",https://www.ontheissues.org/NY/Joe_Morelle.htm,https://en.wikipedia.org/wiki/Joe_Morelle,,
Joseph Morelle,,medicare/aid,3,"Morelle stated he 'will not support cutting Medicare & Social Security benefits' (Apr 2018), a defensive position preserving current programs rather than expanding them. This positions him at value 3 — improving current programs while controlling costs — rather than the expansionary positions at values 1 or 2.",https://www.ontheissues.org/NY/Joe_Morelle.htm,,,"Will not support cutting Medicare & Social Security benefits.","Will not support cutting Medicare & Social Security benefits."
Joseph Morelle,,redistricting,2,"Morelle sponsored the 'Protecting Our Democracy' legislation (Dec 2021), which included redistricting reform provisions, and has been a consistent good-government advocate. This aligns with value 2 — supporting independent redistricting commissions with equal party representation — consistent with House Democratic caucus reform positions.",https://www.ontheissues.org/NY/Joe_Morelle.htm,,,
Joseph Morelle,,same-sex-marriage,1,"Morelle has supported equal marriage rights for same-sex couples since at least June 2011 and is a member of the Congressional Equality Caucus. This aligns with value 1 — requiring all states to recognize same-sex marriages with full federal benefits and protections.",https://www.ontheissues.org/NY/Joe_Morelle.htm,https://en.wikipedia.org/wiki/Joe_Morelle,,
Joseph Morelle,,school-vouchers,1,"Morelle co-sponsored a bill to invest $100 billion in public schools (Oct 2020) and OnTheIssues documents that he 'generally opposes school vouchers.' This aligns with value 1 — fully funding public schools and eliminating voucher programs that divert taxpayer money to private institutions.",https://www.ontheissues.org/NY/Joe_Morelle.htm,,,
Joseph Morelle,,social-security,3,"Morelle stated he 'will not support cutting Medicare & Social Security benefits' (Apr 2018), a defensive preservation stance. He has not co-sponsored legislation to significantly expand benefits or remove the payroll tax cap, placing him at value 3 — making small adjustments to keep Social Security stable for future generations.",https://www.ontheissues.org/NY/Joe_Morelle.htm,,,
