external_id	full_name	role	geo_id	email	phone	term_start	term_end	photo_url	source
	PENDING_RESEARCH	Commissioner Seat A							manual_research_2026-05
	PENDING_RESEARCH	Commissioner Seat B							manual_research_2026-05
	PENDING_RESEARCH	Commissioner Seat C							manual_research_2026-05
	PENDING_RESEARCH	Sheriff							manual_research_2026-05
	PENDING_RESEARCH	County Attorney							manual_research_2026-05
	PENDING_RESEARCH	Clerk/Auditor							manual_research_2026-05
	PENDING_RESEARCH	Recorder							manual_research_2026-05
	PENDING_RESEARCH	Assessor							manual_research_2026-05
	PENDING_RESEARCH	Treasurer							manual_research_2026-05
	PENDING_RESEARCH	Surveyor							manual_research_2026-05
