external_id	full_name	role	geo_id	email	phone	term_start	term_end	photo_url	source
	Kenneth Robinson	Commissioner (Chair)			435-477-8340				ironcountyut.gov
	Paul Cozzens	Commissioner			435-477-8340				ironcountyut.gov
	Michael Bleak	Commissioner			435-477-8340				ironcountyut.gov
	Kenneth Carpenter	Sheriff							ironcountyut.gov
	Chad E. Dotson	County Attorney							ironcountyut.gov
	Jon Whittaker	Clerk							ironcountyut.gov
	Carri Jeffries	Recorder							ironcountyut.gov
	Karsten Reed	Assessor							ironcountyut.gov
	Lucas Little	Auditor							ironcountyut.gov/auditor
	Nicole Rosenberg	Treasurer							ironcountyut.gov/treasurer
