external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-53001,Suzan DelBene,abortion,1,"DelBene is a leader of the Congressional Pro-Choice Caucus, voted against the 20-week abortion ban, voted against the No Taxpayer Funding for Abortion Act (supporting public abortion funding), and has co-sponsored legislation to protect unrestricted legal abortion access throughout pregnancy.",https://www.ontheissues.org/House/Suzan_DelBene_Abortion.htm,https://en.wikipedia.org/wiki/Suzan_DelBene,,,"medical decisions should be made between a woman and her doctor, and not by politicians.","Medical decisions should be made between a woman and her doctor, and not by politicians."
-53001,Suzan DelBene,healthcare,2,"DelBene opposes repealing the ACA and supports affordable coverage for everyone through a mix of public programs and regulated private insurance. She believes health care reform should ""ensure quality, affordable health care for everyone"" and advocates allowing individuals to choose between public and private options, while opposing full single-payer.",https://www.ontheissues.org/House/Suzan_DelBene_Health_Care.htm,https://www.ontheissues.org/House/Suzan_DelBene.htm,,,"health care reform needs to be a continuing conversation","Health care reform needs to be a continuing conversation"
-53001,Suzan DelBene,taxes,2,"DelBene supports the Buffett rule requiring millionaires to pay higher tax rates than middle-class families, supports increasing income tax rates on high earners, opposes elimination of the estate tax, and favors raising estate taxes to 1990s levels. She backs progressive taxation as a matter of fairness.",https://www.ontheissues.org/House/Suzan_DelBene_Tax_Reform.htm,https://www.ontheissues.org/House/Suzan_DelBene.htm,,,"ensure that those making a million dollars or more per year do not pay a lower tax rate than middle class families","ensure that those making a million dollars or more per year do not pay a lower tax rate than middle class families"
-53001,Suzan DelBene,climate-change,3,"DelBene co-sponsored H.Res.637 establishing a national goal of more than 50% clean electricity by 2030, supports federal regulation of greenhouse gas emissions, and opposes offshore oil drilling. Her approach centers on investment in clean energy and gradual reduction of fossil fuel dependence, not an emergency ban or full phase-out by 2030.",https://www.ontheissues.org/House/Suzan_DelBene_Energy_+_Oil.htm,https://www.ontheissues.org/House/Suzan_DelBene.htm,,,,,
-53001,Suzan DelBene,fossil-fuels,2,"DelBene voted yes on an amendment to ban offshore oil drilling in the Gulf of Mexico's Eastern planning area and supports stopping new fossil fuel permits. She opposes reducing restrictions on offshore energy production and co-sponsored a resolution for 50%+ clean electricity by 2030, reflecting a stop-new-permits posture.",https://www.ontheissues.org/House/Suzan_DelBene_Energy_+_Oil.htm,https://www.ontheissues.org/House/Suzan_DelBene.htm,,,,,
-53001,Suzan DelBene,same-sex-marriage,1,"DelBene signed the Respect for Marriage Act requiring all states to recognize same-sex marriages and removing federal definitions limiting marriage to opposite-sex couples. She has long supported ""marriage equality for all"" and co-sponsored the Student Non-Discrimination Act protecting LGBTQ students.",https://www.ontheissues.org/House/Suzan_DelBene_Civil_Rights.htm,https://en.wikipedia.org/wiki/Suzan_DelBene,,,"Every one of us has equal rights under the law.","Every one of us has equal rights under the law."
-53001,Suzan DelBene,civil-rights,2,"DelBene voted for the Violence Against Women Act reauthorization with expanded LGBTQ protections, co-sponsored the Paycheck Fairness Act to enforce wage discrimination laws, and voted for contractor non-discrimination based on gender identity. She supports strengthening civil rights enforcement and addressing systemic discrimination.",https://www.ontheissues.org/House/Suzan_DelBene_Civil_Rights.htm,https://www.ontheissues.org/House/Suzan_DelBene.htm,,,,,
-53001,Suzan DelBene,voting-rights,1,"DelBene co-sponsored legislation authorizing automatic voter registration, same-day registration, online registration, and voting rights restoration for those with prior felony convictions. She voted for the For the People Act making Election Day a federal holiday, and explicitly opposes photo ID requirements as vote-suppressing.",https://www.ontheissues.org/House/Suzan_DelBene_Government_Reform.htm,https://www.ontheissues.org/House/Suzan_DelBene.htm,,,"No photo IDs to vote; they suppress the vote","No photo IDs to vote; they suppress the vote"
-53001,Suzan DelBene,campaign-finance,2,"DelBene co-sponsored the DISCLOSE 2013 Act requiring campaign spending transparency, signed onto a constitutional amendment to overturn Citizens United (opposing corporate political spending as free speech), and co-sponsored the Government By the People Act providing small-donor matching funds. She supports strictly limiting corporate and dark money influence.",https://www.ontheissues.org/House/Suzan_DelBene_Government_Reform.htm,https://www.ontheissues.org/House/Suzan_DelBene_Corporations.htm,,,"Corporate political spending is not free speech","Corporate political spending is not free speech"
-53001,Suzan DelBene,school-vouchers,1,"DelBene voted against the SOAR Act which would have expanded Washington D.C.'s private and religious school voucher program, and has consistently opposed private/religious school vouchers. She supports full transparency in education funding and federal standards over block grants.",https://www.ontheissues.org/House/Suzan_DelBene_Education.htm,https://www.ontheissues.org/House/Suzan_DelBene.htm,,,,,
-53001,Suzan DelBene,social-security,2,"DelBene opposes privatizing Social Security, opposes raising the retirement age, and supports ""raising the income limits, or 'scrapping the cap'"" on payroll taxes to strengthen the program. She received a 90% rating from the Alliance for Retired Americans for her pro-Trust Fund stance.",https://www.ontheissues.org/House/Suzan_DelBene_Social_Security.htm,https://www.ontheissues.org/House/Suzan_DelBene.htm,,,"I support raising the income limits, or 'scrapping the cap.'","support raising the income limits, or 'scrapping the cap.'"
-53001,Suzan DelBene,immigration,2,"DelBene voted to protect DACA recipients, co-sponsored the Fair Day in Court for Kids Act providing government-funded legal counsel for immigrants facing removal, and co-sponsored the Fairness for High-Skilled Immigrants Act to increase visa caps. She supports legal pathways and public services for most immigrants regardless of status.",https://www.ontheissues.org/House/Suzan_DelBene_Immigration.htm,https://www.ontheissues.org/House/Suzan_DelBene.htm,,,,,
-53001,Suzan DelBene,deportation,2,"DelBene co-sponsored the Fair Day in Court for Kids Act to ensure legal representation for children facing deportation and opposes aggressive deportation of DACA recipients. She supports only deporting those who commit serious crimes while providing legal status to most undocumented long-term residents.",https://www.ontheissues.org/House/Suzan_DelBene_Immigration.htm,https://www.ontheissues.org/House/Suzan_DelBene.htm,,,"Provide lawyers and evidence for children being deported","Provide lawyers and evidence for children being deported"
-53001,Suzan DelBene,redistricting,1,"DelBene voted for the For the People Act which established independent, nonpartisan redistricting commissions. She supports removing politicians from the map-drawing process entirely through independent citizen commissions.",https://www.ontheissues.org/House/Suzan_DelBene_Government_Reform.htm,https://www.ontheissues.org/House/Suzan_DelBene.htm,,,,,
-53001,Suzan DelBene,religious-freedom,3,"DelBene signed the Protect American Families Act barring religious discrimination in immigration, while also co-sponsoring the EACH Act allowing religious exemptions from the individual healthcare mandate. Her record reflects balancing religious practices with equal treatment under the law rather than either strictly prohibiting or broadly expanding religious exemptions.",https://www.ontheissues.org/House/Suzan_DelBene_Principles_+_Values.htm,https://www.ontheissues.org/House/Suzan_DelBene_Health_Care.htm,,,,,
-53001,Suzan DelBene,medicare/aid,2,"DelBene committed to protecting Medicare and opposes any privatization of the program. She supports a public option alongside private insurance (ACA framework) and has consistently backed expanding coverage through public programs. Her position aligns with lowering the Medicare age and significantly expanding Medicaid rather than Medicare for All.",https://www.ontheissues.org/House/Suzan_DelBene_Health_Care.htm,https://www.ontheissues.org/House/Suzan_DelBene.htm,,,,,
-53001,Suzan DelBene,misinformation,3,"DelBene voted against CISPA due to privacy concerns about government-industry data sharing but has not been documented pushing mandated platform removal of false information. As a former tech executive and Digital Trade Caucus co-chair, her record reflects support for voluntary standards and privacy protection over mandated content removal.",https://www.ontheissues.org/House/Suzan_DelBene_Technology.htm,https://en.wikipedia.org/wiki/Suzan_DelBene,,,,,
