cd,geo_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,source
1,1901,"Mariannette Miller-Meeks",Republican,R,REUSE,-19001,true,"IA 2026 US House field (IA SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Iowa); decided general field"
1,1901,"Christina Bohannan",Democratic,D,NEW,-190101,false,"IA 2026 US House field (IA SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Iowa); decided general field"
1,1901,"Michael Bridgford",Independent,IND,NEW,-190102,false,"IA 2026 US House field (independent/minor-party filing; IA SoS + Wikipedia); decided general field"
2,1902,"Joe Mitchell",Republican,R,NEW,-190201,false,"IA 2026 US House field (IA SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Iowa); decided general field"
2,1902,"Lindsay James",Democratic,D,NEW,-190202,false,"IA 2026 US House field (IA SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Iowa); decided general field"
2,1902,"Dave Bushaw",Independent,IND,NEW,-190203,false,"IA 2026 US House field (independent/minor-party filing; IA SoS + Wikipedia); decided general field"
2,1902,"Rick Stewart",Libertarian,LIB,NEW,-190204,false,"IA 2026 US House field (independent/minor-party filing; IA SoS + Wikipedia); decided general field"
3,1903,"Zachary Nunn",Republican,R,REUSE,-19003,true,"IA 2026 US House field (IA SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Iowa); decided general field"
3,1903,"Sarah Trone Garriott",Democratic,D,NEW,-190301,false,"IA 2026 US House field (IA SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Iowa); decided general field"
4,1904,"Chris McGowan",Republican,R,NEW,-190401,false,"IA 2026 US House field (IA SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Iowa); decided general field"
4,1904,"Dave Dawson",Democratic,D,NEW,-190402,false,"IA 2026 US House field (IA SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Iowa); decided general field"
2,1902,"Ashley Hinson",,INC,EXCLUDED-NO-ROW,-19002,false,"D-05 open seat: retired (Joe Mitchell is the R nominee)"
4,1904,"Randy Feenstra",,INC,EXCLUDED-NO-ROW,-19004,false,"D-05 open seat: retired (Chris McGowan is the R nominee)"
