external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-4200001,Josh Shapiro,abortion,2,"As AG Shapiro challenged abortion restrictions and as governor he ended PA's defense of the Medicaid abortion coverage ban, ended state funding for crisis pregnancy centers, and joined the Reproductive Freedom Alliance. He has vowed to veto any legislation restricting abortion access. Supports broad abortion access but has not called for public funding at all stages of pregnancy.",https://www.ontheissues.org/Josh_Shapiro.htm,https://www.pa.gov/en/governor/accomplishments/healthcare.html,,
-4200001,Josh Shapiro,childcare,2,"Shapiro secured $161 million in state funds across three budgets to support up to 80,000 low-income families via Child Care Works, invested $25 million in retention bonuses for ~39,000 childcare workers, and delivered $139 million in Child Care Tax Credits to ~222,000 families in 2025. This represents significant expansion of subsidies and provider grants beyond a targeted-minimum approach.",https://www.pa.gov/en/governor/accomplishments/cutting-costs.html,https://www.ontheissues.org/Josh_Shapiro.htm,,
-4200001,Josh Shapiro,civil-rights,2,"As PA AG Shapiro created a statewide Police Misconduct Database and increased state contracts for minority-owned businesses. As governor he has emphasized strengthening civil rights enforcement through policing reform, wage recovery ($15.7M returned to workers), and economic equity — consistent with strengthening enforcement and addressing systemic discrimination.",https://www.ontheissues.org/Josh_Shapiro.htm,https://en.wikipedia.org/wiki/Josh_Shapiro,https://www.pa.gov/en/governor/accomplishments/accountability.html,
-4200001,Josh Shapiro,climate-change,3,"Shapiro describes himself as an 'all-of-the-above energy governor,' supporting both renewable energy investment and continued natural gas production. He proposed a state-level climate program to replace RGGI rather than joining it, and has invested in clean energy infrastructure while maintaining existing fossil fuel production levels.",https://stateimpact.npr.org/pennsylvania/tag/josh-shapiro/,https://en.wikipedia.org/wiki/Josh_Shapiro,https://www.ontheissues.org/Josh_Shapiro.htm,"I am an all-of-the-above energy governor.","I am an all-of-the-above energy governor."
-4200001,Josh Shapiro,data-centers,2,"In February 2026 Shapiro introduced GRID standards legislation requiring data centers to fund their own dedicated power generation and explicitly barring utilities from passing data center infrastructure costs to residential customers — directly matching the value-2 stance of requiring data centers to fund their own power while protecting ratepayers.",https://en.wikipedia.org/wiki/Josh_Shapiro,https://www.spotlightpa.org/,https://www.pa.gov/en/governor/newsroom/2026-press-releases.html,,
-4200001,Josh Shapiro,deportation,2,"Shapiro declined to send the National Guard to the southern border, criticized ICE enforcement tactics, and allowed only limited 'key avenues' of ICE cooperation per reporting. He has supported DREAMers and opposed mass deportation. His documented position aligns with deporting only those who commit serious crimes.",https://en.wikipedia.org/wiki/Josh_Shapiro,https://www.ontheissues.org/Josh_Shapiro.htm,https://www.spotlightpa.org/,,
-4200001,Josh Shapiro,fossil-fuels,3,"Shapiro's 'all-of-the-above' energy strategy explicitly includes continued natural gas production — Pennsylvania is a major gas producer. He proposed replacing RGGI with a state climate program rather than joining it, and reached an environmental monitoring agreement with CNX Resources rather than restricting drilling. He has neither expanded permits nor moved to stop new ones.",https://stateimpact.npr.org/pennsylvania/tag/josh-shapiro/,https://en.wikipedia.org/wiki/Josh_Shapiro,https://www.ontheissues.org/Josh_Shapiro.htm,
-4200001,Josh Shapiro,healthcare,2,"Shapiro expanded Medicaid access as AG, mandated insurer coverage of telemedicine and preventative screenings as governor, invested over $85M in addiction treatment, and refused to defend the PA Medicaid abortion coverage ban. His approach expands public programs and regulates private insurance to ensure coverage rather than replacing the private system.",https://www.pa.gov/en/governor/accomplishments/healthcare.html,https://www.ontheissues.org/Josh_Shapiro.htm,,
-4200001,Josh Shapiro,housing,3,"Shapiro invested $120.3M through Whole-Home Repairs, raised the PHARE affordable housing fund cap to $100M, provided $10M in mixed-use development support, and $2.5M for eviction legal counsel. These are targeted government subsidies and assistance programs — not public housing guarantees or rent caps — consistent with offering targeted help including first-time buyer and affordable project support.",https://www.pa.gov/en/governor/accomplishments/cutting-costs.html,https://en.wikipedia.org/wiki/Josh_Shapiro,,
-4200001,Josh Shapiro,immigration,2,"Shapiro supported DREAMers and opposed breaking the government's promise to them, refused to send the National Guard to the southern border despite Republican pressure, and criticized ICE enforcement tactics. He maintains legal immigration pathways and allows undocumented long-term residents to access public services while permitting limited federal cooperation.",https://www.ontheissues.org/Josh_Shapiro.htm,https://en.wikipedia.org/wiki/Josh_Shapiro,https://www.spotlightpa.org/,"Government shouldn't go back on its promise to DREAMers.","Government shouldn't go back on its promise to DREAMers."
