state,corporation,seats,sample_title,suggested_class
ca,"San Diego Unified School District, California, US",5,Board Member (District A),single_member_needs_boundaries
ca,"San Jose Unified School District, California, US",5,Board Member (Trustee Area 1),single_member_needs_boundaries
in,"Indianapolis Public Schools, Indiana, US",7,Indianapolis Public School Board - At Large,single_member_needs_boundaries
in,"Martinsville Community School Corporation, Indiana, US",5,Martinsville School Board - District 1,single_member_needs_boundaries
me,"Auburn Public Schools, Maine, US",8,School Committee Member (At-Large),single_member_needs_boundaries
me,"Lewiston Public Schools, Maine, US",8,School Committee Member (At-Large),single_member_needs_boundaries
me,"South Portland Public Schools, Maine, US",7,Board Member,single_member_needs_boundaries
nv,"Clark County School District, Nevada, US",11,"Trustee, Appointed – City of Henderson",single_member_needs_boundaries
or,"Beaverton School District 48J, Oregon, US",7,"Director, Zone 1",single_member_needs_boundaries
or,"Bend-La Pine Administrative School District 1, Oregon, US",7,"Director, Zone 1",single_member_needs_boundaries
or,"Portland Public Schools, Oregon, US",7,Board Member (Zone 1),single_member_needs_boundaries
ut,"Alpine School District, Utah, US",7,School Board Member,single_member_generic_title_UT
ut,"Box Elder School District, Utah, US",7,School Board Member,single_member_generic_title_UT
ut,"Cache School District, Utah, US",7,School Board Member,single_member_generic_title_UT
ut,"Granite School District, Utah, US",7,School Board Member,single_member_generic_title_UT
ut,"Iron School District, Utah, US",7,School Board Member,single_member_generic_title_UT
ut,"Provo School District, Utah, US",7,School Board Member,single_member_generic_title_UT
ut,"Salt Lake City School District, Utah, US",7,School Board Member,single_member_generic_title_UT
ut,"Tooele School District, Utah, US",7,School Board Member,single_member_generic_title_UT
ut,"Washington School District, Utah, US",7,School Board Member,single_member_generic_title_UT
ut,"Weber School District, Utah, US",7,School Board Member,single_member_generic_title_UT
ut,"Jordan School District, Utah, US",6,School Board Member,single_member_generic_title_UT
ut,"Canyons School District, Utah, US",5,School Board Member,single_member_generic_title_UT
ut,"Davis School District, Utah, US",5,School Board Member,single_member_generic_title_UT
