full_name,politician_id,is_linked,photo_source,cdn_url,stub_photo_url
"Amy Huffman Oliver",a6926086-aa11-4f42-bcd7-bf74c1e1a540,linked,none,,
"Amy Swain",fa4cbcff-06c5-4f31-a034-0c9b4b268868,linked,cdn,https://kxsdzaojfaibhuzmclfq.supabase.co/storage/v1/object/public/politician_photos/fa4cbcff-06c5-4f31-a034-0c9b4b268868/default.jpg,
"Andrew Henry",,stub,none,,
"Andrew Spriggs",15c77faa-dfb6-485e-8b83-4611727d1eb3,linked,none,,
"Barbara E. McKinney",c8a73d2a-205d-482e-bc78-8c81d965a28c,linked,none,,
"Barbara Sturbaum",0af9a347-846e-441e-b575-a187d8c0528f,linked,none,,
"Benjamin T. Arrington",,stub,none,,
"Bob Nyquist",,stub,none,,
"Brad A. Meyer",926943ad-ee64-4ddb-b9e7-6475a6a2d087,linked,none,,
"Carrie L. Syczylo",,stub,none,,
"Christopher Reynolds",c905324f-0568-48e9-931f-d42ddc657ec3,linked,none,,
"Dave Hall",e971c7f2-3ab2-483d-97a4-7fe919365f98,linked,cdn,https://kxsdzaojfaibhuzmclfq.supabase.co/storage/v1/object/public/politician_photos/e971c7f2-3ab2-483d-97a4-7fe919365f98/default.jpg,
"David G. Henry",0be7d42f-9363-40ad-bbc5-733c862f4395,linked,cdn,https://kxsdzaojfaibhuzmclfq.supabase.co/storage/v1/object/public/politician_photos/0be7d42f-9363-40ad-bbc5-733c862f4395/default.jpg,
"David W. Waters",533ae2ea-a474-4436-96b7-c2655242cefb,linked,none,,
"David Willibey",53a867be-2009-4139-aca4-6371dd05cb6a,linked,none,,
"Dawn Marie Durnil",d29e4645-d19f-4081-992d-fe66344a126c,linked,none,,
"Dorothy Granger",06464416-e8f4-4df1-af4c-2d785863721e,linked,cdn,https://kxsdzaojfaibhuzmclfq.storage.supabase.co/storage/v1/object/public/politician_photos/06464416-e8f4-4df1-af4c-2d785863721e-headshot.jpg,
"Dustin Cole Dillard",,stub,none,,
"Efrat Rosser",c7dee89b-1ee2-4858-a11e-b3775a4b4bfd,linked,cdn,https://kxsdzaojfaibhuzmclfq.supabase.co/storage/v1/object/public/politician_photos/c7dee89b-1ee2-4858-a11e-b3775a4b4bfd/default.jpg,
"Elaine Thomsen",,stub,none,,
"Elizabeth Sensenstein",15c278e1-20d8-4a2c-9575-2e130a0ec37f,linked,none,,
"Erika Oliphant",ed914571-dd22-4ab5-b764-92a1a465e980,linked,cdn,https://kxsdzaojfaibhuzmclfq.supabase.co/storage/v1/object/public/politician_photos/ed914571-dd22-4ab5-b764-92a1a465e980/default.jpg,
"Erin Houchin",68568faf-1e0f-4ca2-89d9-bda625665712,linked,cdn,https://kxsdzaojfaibhuzmclfq.supabase.co/storage/v1/object/public/politician_photos/68568faf-1e0f-4ca2-89d9-bda625665712/default.jpg,
"Geoff Bradley",999a9d38-9894-45f0-80c7-228880089699,linked,cdn,https://kxsdzaojfaibhuzmclfq.supabase.co/storage/v1/object/public/politician_photos/999a9d38-9894-45f0-80c7-228880089699/default.jpg,
"Jack Davis",ec9aa60a-c57b-4bd9-b169-22c05b628f96,linked,none,,
"James H. (Jim) Graham",037ad94f-d379-4f9c-baf1-a75742a46eac,linked,none,,
"Jay Thrasher",6caa511c-7051-4974-b86f-f112ca3ada2b,linked,none,,
"Jennifer Crossley",30753c4d-e145-417f-8448-c2192e010a14,linked,cdn,https://kxsdzaojfaibhuzmclfq.supabase.co/storage/v1/object/public/politician_photos/30753c4d-e145-417f-8448-c2192e010a14/default.jpg,
"Jenny Olmes-Stevens",,stub,none,,
"Jeremy Goodrich",,stub,none,,
"Jerry Ayers",ad773a1b-a007-4b7f-a1fe-2091db751d0d,linked,none,,
"Joan C. Hall",6775a8e6-37cb-437b-923b-5f664f6b3b5d,linked,none,,
"Joann Calabrese",,stub,none,,
"Joe Davis",,stub,none,,
"Joe Husk",,stub,none,,
"John Wilson",1c0afd7e-f476-4784-920f-f328a5c5d348,linked,cdn,https://kxsdzaojfaibhuzmclfq.supabase.co/storage/v1/object/public/politician_photos/1c0afd7e-f476-4784-920f-f328a5c5d348/default.jpg,
