position_name,primary_party,candidate_count,linked_to_geofence,office_id
Bean Blossom Township Trustee,Republican,1,Y,d7d6bd6f-9f40-4895-b221-7819323f8a38
Benton Township Board,Democratic,1,Y,4f3f3a6d-9f8e-4079-a6f7-93e5c8a2869d
Benton Township Trustee,Democratic,1,Y,d1d466c3-c4af-4f1e-8bb0-9a7bd163c829
Bloomington Township Board,Democratic,3,Y,18102de0-ca85-4957-9e78-5ba098c35660
Bloomington Township Trustee,Democratic,1,Y,16cf2b08-aa20-461b-9264-61363b92558e
Clear Creek Township Board,Democratic,3,Y,67df2778-1d86-4750-b76f-f4a363af6974
Clear Creek Township Board,Republican,4,Y,67df2778-1d86-4750-b76f-f4a363af6974
Clear Creek Township Trustee,Democratic,1,Y,2025b982-3f1c-4a0d-9a1c-a24d46ac1a79
Clear Creek Township Trustee,Republican,3,Y,2025b982-3f1c-4a0d-9a1c-a24d46ac1a79
Ellettsville Town Council Ward 4,Republican,1,Y,7616b007-4e0d-4617-a80f-037ad30fc55a
Ellettsville Town Council Ward 5,Republican,1,Y,adccb33f-579b-4378-975a-c6762fd47eb0
Indian Creek Township Board,Republican,3,Y,7d32174c-a987-4163-963e-05fc25f4a551
Indian Creek Township Trustee,Democratic,1,Y,ce661f57-ef86-432e-8332-c59abbef4170
Indian Creek Township Trustee,Republican,1,Y,ce661f57-ef86-432e-8332-c59abbef4170
"Judge of the Monroe Circuit Court, 10th Judicial Circuit, No. 5",Democratic,1,Y,7cb0aaa5-1028-4f1b-8bcb-846ef6774305
"Judge of the Monroe Circuit Court, 10th Judicial Circuit, No. 9",Democratic,1,Y,69ea8243-4cd3-42fb-abcf-e1b9b40edc6d
Monroe County Assessor,Democratic,2,Y,0a75b673-57db-48f7-b358-9d0c7d4c1bc3
Monroe County Clerk,Democratic,3,Y,b82f753c-27a1-4353-a0cb-53b5b249a901
Monroe County Clerk,Republican,1,Y,b82f753c-27a1-4353-a0cb-53b5b249a901
Monroe County Commissioner District 1,Democratic,2,Y,361f3973-27f0-4fb5-9955-cfca6b54d526
Monroe County Council District 1,Democratic,1,Y,fea5f0fa-11f8-41ab-93b5-2ddd5391624d
Monroe County Council District 2,Democratic,1,Y,6f974e36-6168-4f9a-9d45-f0035f6eadfc
Monroe County Council District 3,Republican,1,Y,b71fbb04-df8b-45c9-b3ee-ea9e2be25055
Monroe County Council District 4,Democratic,1,Y,12d08f5d-d94b-4884-b7ef-beffd23c95ea
Monroe County Prosecuting Attorney,Democratic,2,Y,c8b096f2-9e0b-4e34-b4cf-8f828d04bb33
Monroe County Recorder,Democratic,1,Y,60e8610a-89c2-46c9-9b8e-b0841fa77842
Monroe County Sheriff,Democratic,1,Y,0cad79dc-c277-45bf-9e6b-1cc37be0c51f
Perry Township Board,Democratic,5,Y,54cfb4f6-37ff-4c84-bfa1-0695d1147712
Perry Township Trustee,Democratic,2,Y,a8c9cc56-47ca-4853-9c2f-87231ee547c1
Polk Township Trustee,Republican,1,Y,11be4cdb-141e-4675-a78e-8fecf45d9416
Richland Township Board,Republican,4,Y,ce3b4c4b-3e6b-44fd-bf5d-5dd407e0ac31
Richland Township Trustee,Republican,1,Y,15ffa6a5-2af6-4b15-bc1c-3d9f900e2334
Salt Creek Township Board,Democratic,3,Y,128f41d8-bcec-4be1-b04a-62b614168e2b
Salt Creek Township Trustee,Democratic,1,Y,0bbce550-0b3b-48cf-92b8-05dc6eb20eda
"State Representative, District 060",Democratic,1,Y,4e827459-027f-4998-b86d-c01355c44ed8
"State Representative, District 060",Republican,3,Y,4e827459-027f-4998-b86d-c01355c44ed8
"State Representative, District 061",Democratic,2,Y,7b3f68ef-bd9b-4316-9e39-89091b6e9aa1
"State Representative, District 062",Democratic,1,Y,847135b4-5bd6-46e2-87e4-41bd792097bd
"State Representative, District 062",Republican,1,Y,847135b4-5bd6-46e2-87e4-41bd792097bd
"United States Representative, Ninth District",Democratic,4,Y,b343becb-af7d-4a19-a6a1-2e5df210f344
"United States Representative, Ninth District",Republican,1,Y,b343becb-af7d-4a19-a6a1-2e5df210f344
Van Buren Township Board,Democratic,1,Y,b7c1f2da-733c-4085-a57f-6aa019efbe2b
Van Buren Township Board,Republican,2,Y,b7c1f2da-733c-4085-a57f-6aa019efbe2b
Van Buren Township Trustee,Republican,1,Y,d7346490-6000-439b-97d6-e05f242a40bc
Washington Township Board,Republican,3,Y,31b0fb7d-cfeb-4a28-a316-56f2331f3aef
Washington Township Trustee,Republican,1,Y,c92cba7b-1443-4104-ab1f-d1ec98dd8a06
