cd,geo_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,source
1,2701,"Brad Finstad",R,R,REUSE,-27001,true,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
1,2701,"Gregory A. Goetzman",R,R,NEW,-270101,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
1,2701,"Oliver R. Morlan",R,R,NEW,-270102,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
1,2701,"Alex Eaton",DFL,D,NEW,-270103,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
1,2701,"Jake Johnson",DFL,D,NEW,-270104,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
2,2702,"Angie Craig",DFL,D,REUSE-NO-ROW,-27002,true,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
2,2702,"Eric Pratt",R,R,NEW,-270201,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
2,2702,"Abdi Abdulle",DFL,D,NEW,-270202,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
2,2702,"Kaela Berg",DFL,D,NEW,-270203,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
2,2702,"Matthew D. Klein",DFL,D,NEW,-270204,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
2,2702,"Matt Little",DFL,D,NEW,-270205,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
